epoch,hamming_acc,macro_f1,auroc,auprc,seconds,mode,alpha,clients,mm_ratio,vary_embed,which_client
1,0.9688095238095238,0.38408021790988334,0.9365648689473595,0.5641996930737352,278.7,centralized,100.0,4,full,False,all
3,0.9583333333333334,0.3569988076253679,0.9180478324115225,0.5759552464893469,241.8,centralized,100.0,4,full,False,all
5,0.9764285714285714,0.5067190793371051,0.9428276208907581,0.6207425124328246,240.9,centralized,100.0,4,full,False,all
7,0.9742857142857143,0.5390712327435905,0.9222613861444862,0.5966890413339762,246.1,centralized,100.0,4,full,False,all
9,0.9783333333333334,0.5137597274782149,0.9358220180149711,0.6378692618322354,240.7,centralized,100.0,4,full,False,all
11,0.9742857142857143,0.5995453324211016,0.9287406392445947,0.6552234191447698,243.2,centralized,100.0,4,full,False,all
13,0.9735714285714285,0.5197571991408104,0.9389242255158976,0.6046076358844561,241.0,centralized,100.0,4,full,False,all
15,0.9761904761904762,0.607806970995509,0.945218983833653,0.6748965283827285,237.5,centralized,100.0,4,full,False,all
17,0.9714285714285714,0.46933624679946834,0.9133767368821372,0.6320908367695323,227.6,centralized,100.0,4,full,False,all
19,0.9716666666666667,0.5719504621415906,0.9245461843337516,0.63389880088485,227.1,centralized,100.0,4,full,False,all
21,0.9657142857142857,0.4664049495052446,0.9091768818310743,0.5188510904971043,227.6,centralized,100.0,4,full,False,all
23,0.9576190476190476,0.44712844380272687,0.877658416717756,0.5236780787473315,227.2,centralized,100.0,4,full,False,all
25,0.9288095238095239,0.2727822325511401,0.7454008102911803,0.3080735228279824,227.7,centralized,100.0,4,full,False,all
27,0.9119047619047619,0.1905100481855051,0.7284800657479631,0.23196984287238911,227.5,centralized,100.0,4,full,False,all
29,0.9152380952380952,0.2100500621588302,0.7175571961801648,0.2754837209813009,227.1,centralized,100.0,4,full,False,all
31,0.9016666666666666,0.20135921075166113,0.7163536506290249,0.2367734821543329,227.7,centralized,100.0,4,full,False,all
33,0.9078571428571428,0.1875385143530305,0.6830312115052726,0.22528495152703684,227.7,centralized,100.0,4,full,False,all
35,0.9104761904761904,0.17489696176341818,0.7346302418789924,0.25130645735802376,227.5,centralized,100.0,4,full,False,all
37,0.9116666666666666,0.17658155159296918,0.7388159884240951,0.24927901644360959,227.5,centralized,100.0,4,full,False,all
39,0.9097619047619048,0.1888605555643345,0.7331747496689217,0.2716660567360515,226.8,centralized,100.0,4,full,False,all
41,0.9040476190476191,0.22490184673093988,0.7567369192975887,0.26272527022324976,227.4,centralized,100.0,4,full,False,all
43,0.8971428571428571,0.19457749972422983,0.7202907751170241,0.2521899398666079,227.0,centralized,100.0,4,full,False,all
45,0.9097619047619048,0.1744753674767077,0.7325874307133621,0.24176484777230148,227.5,centralized,100.0,4,full,False,all
47,0.9133333333333333,0.1879459812235351,0.7169391231574692,0.2456969348931582,227.5,centralized,100.0,4,full,False,all
49,0.9116666666666666,0.17166001659638416,0.7700682618129704,0.30320948095287886,227.2,centralized,100.0,4,full,False,all
51,0.910952380952381,0.13330719232858282,0.7462768652694273,0.23588798134176606,227.6,centralized,100.0,4,full,False,all
53,0.8990476190476191,0.15449596617633624,0.7429155607562923,0.22556506259248435,228.0,centralized,100.0,4,full,False,all
55,0.9011904761904762,0.2375604005706699,0.7345226191628181,0.2531238522400428,227.4,centralized,100.0,4,full,False,all
57,0.9097619047619048,0.21094337476825956,0.7512212102288853,0.26002732490443886,228.1,centralized,100.0,4,full,False,all
59,0.9104761904761904,0.2335703298046222,0.749008021866321,0.26199383975342483,232.8,centralized,100.0,4,full,False,all
61,0.91,0.1788949492411601,0.7428635194661826,0.23400978137869347,234.2,centralized,100.0,4,full,False,all
63,0.9064285714285715,0.1558069765138603,0.7047710251878442,0.22809750790306577,235.0,centralized,100.0,4,full,False,all
65,0.9142857142857143,0.17588709002830513,0.6928880042800438,0.23895435781145655,235.5,centralized,100.0,4,full,False,all
67,0.9114285714285715,0.168782491857115,0.7340854789952277,0.2497728021292924,235.2,centralized,100.0,4,full,False,all
69,0.9052380952380953,0.16956483942314468,0.7251293983667574,0.2326382831814772,234.4,centralized,100.0,4,full,False,all
71,0.9135714285714286,0.1549148637607059,0.7467637525931089,0.23013866453915968,234.9,centralized,100.0,4,full,False,all
73,0.9085714285714286,0.16711503348896758,0.7052772201207113,0.2418968197845219,235.3,centralized,100.0,4,full,False,all
75,0.9114285714285715,0.24264684512080564,0.73199265268129,0.29134208628052377,235.0,centralized,100.0,4,full,False,all
77,0.9154761904761904,0.19868293102966186,0.7507471910295342,0.26771075393183613,235.7,centralized,100.0,4,full,False,all
79,0.9116666666666666,0.15144559621485984,0.6970569503162588,0.23013192715222686,234.3,centralized,100.0,4,full,False,all
