epoch,hamming_acc,macro_f1,auroc,auprc,seconds,mode,alpha,clients,mm_ratio,vary_embed,which_client
1,0.905,0.047193877551020405,0.6614640973487813,0.27719592415289446,277.9,local,0.1,4,full,False,client0
3,0.9116666666666666,0.049422799422799424,0.6980955632299549,0.2729936452613687,546.1,local,0.1,4,full,False,client0
5,0.9078571428571428,0.05085020646980302,0.6767103133682212,0.190116507570862,812.0,local,0.1,4,full,False,client0
7,0.909047619047619,0.06154125772446383,0.6890930086147489,0.1658886058719475,1077.8,local,0.1,4,full,False,client0
9,0.909047619047619,0.0677893684483218,0.6985852803831201,0.2168231193932902,1343.6,local,0.1,4,full,False,client0
11,0.9085714285714286,0.07795024524347834,0.719603798371269,0.19644037989822935,1609.4,local,0.1,4,full,False,client0
13,0.905,0.06945720134438275,0.6715935684629267,0.18424310449087047,1875.4,local,0.1,4,full,False,client0
15,0.9052380952380953,0.08626546772555177,0.6976406549389926,0.18106408785643807,2141.3,local,0.1,4,full,False,client0
17,0.9057142857142857,0.06942351632973612,0.7030676849390437,0.1665301813331947,2407.3,local,0.1,4,full,False,client0
19,0.9061904761904762,0.08162092423176168,0.7211633102300825,0.18386025425857339,2672.9,local,0.1,4,full,False,client0
21,0.9095238095238095,0.07617026474263262,0.6846814379112433,0.18192780318893303,2938.3,local,0.1,4,full,False,client0
23,0.9047619047619048,0.08587126487896947,0.6291106616621853,0.1600430167308131,3203.7,local,0.1,4,full,False,client0
25,0.9064285714285715,0.06812631812631813,0.6792654843000425,0.1711763762103536,3469.4,local,0.1,4,full,False,client0
27,0.9078571428571428,0.08851038582012165,0.6837924026732847,0.1957733578579922,3734.9,local,0.1,4,full,False,client0
29,0.9066666666666666,0.07773524955619786,0.6729823236972364,0.17400598366450973,4000.5,local,0.1,4,full,False,client0
31,0.9057142857142857,0.08977408733535704,0.6971716677809235,0.22058725555863537,4266.2,local,0.1,4,full,False,client0
33,0.9069047619047619,0.09213524048951163,0.704983399093899,0.20266571358829033,4531.8,local,0.1,4,full,False,client0
35,0.9064285714285715,0.08390582318931035,0.6451166803804254,0.16945538316284697,4797.6,local,0.1,4,full,False,client0
37,0.9064285714285715,0.08159974106054949,0.6655952958156438,0.20579266203844776,5063.1,local,0.1,4,full,False,client0
39,0.905952380952381,0.06564837900152268,0.6754189473764838,0.18989472914586822,5328.8,local,0.1,4,full,False,client0
41,0.9066666666666666,0.07665410151884193,0.6870022653631699,0.18103786288600882,5594.4,local,0.1,4,full,False,client0
43,0.9054761904761904,0.08384264873632175,0.665993823381343,0.15964537040213453,5860.3,local,0.1,4,full,False,client0
45,0.9054761904761904,0.07222222222222222,0.6490791243527702,0.1571365914584828,6126.9,local,0.1,4,full,False,client0
47,0.905952380952381,0.07241073907745184,0.6155333431771582,0.16553740525655478,6392.4,local,0.1,4,full,False,client0
49,0.9057142857142857,0.07213953864956876,0.6547771181857829,0.18392326478719737,6657.9,local,0.1,4,full,False,client0
51,0.9047619047619048,0.06857330087998502,0.6501930328470065,0.17464734628820006,6923.3,local,0.1,4,full,False,client0
53,0.9069047619047619,0.06789618974973667,0.6136760509941837,0.17149569352581653,7188.8,local,0.1,4,full,False,client0
55,0.9064285714285715,0.07357924234845817,0.6344961981580972,0.1692832735357678,7454.4,local,0.1,4,full,False,client0
57,0.9061904761904762,0.07134628044766293,0.6372946692048133,0.17473891671876288,7720.2,local,0.1,4,full,False,client0
59,0.9064285714285715,0.07339740117918243,0.6553630176383528,0.17354654095634192,7985.8,local,0.1,4,full,False,client0
61,0.9057142857142857,0.06949258045967918,0.6566973057339387,0.1640967490361904,8251.6,local,0.1,4,full,False,client0
63,0.9061904761904762,0.07320604057948372,0.6324443021564717,0.1625397010854943,8517.1,local,0.1,4,full,False,client0
65,0.905952380952381,0.07023486393122497,0.6384710489465828,0.16255386668809096,8782.8,local,0.1,4,full,False,client0
67,0.9061904761904762,0.0700436217677597,0.6342884806589835,0.15980546890887387,9048.3,local,0.1,4,full,False,client0
69,0.9069047619047619,0.08225284889295321,0.6280748261548588,0.16074386427870652,9314.1,local,0.1,4,full,False,client0
71,0.9061904761904762,0.07820029352737265,0.6301435773502504,0.16183489716916394,9579.9,local,0.1,4,full,False,client0
73,0.9066666666666666,0.07680624414764256,0.6404133576722834,0.163868660612031,9845.5,local,0.1,4,full,False,client0
75,0.9064285714285715,0.07119485220988982,0.6536853306072931,0.16862454068522645,10111.1,local,0.1,4,full,False,client0
77,0.9066666666666666,0.07845632228753655,0.6413534014665674,0.16652762781846017,10376.2,local,0.1,4,full,False,client0
79,0.9066666666666666,0.07796862275620511,0.6485123524351142,0.1662344372548568,10641.6,local,0.1,4,full,False,client0
1,0.8795238095238095,0.1213241999878402,0.6904291792764738,0.27517789203444126,10739.5,local,0.1,4,full,False,client1
3,0.8814285714285715,0.1544773541987628,0.7167327351248428,0.2512324962215033,10835.6,local,0.1,4,full,False,client1
5,0.8821428571428571,0.17833367257349714,0.7306016267733698,0.31422048227100463,10931.5,local,0.1,4,full,False,client1
7,0.8854761904761905,0.2317200878092626,0.7568836465009486,0.3220762627574682,11027.3,local,0.1,4,full,False,client1
9,0.8823809523809524,0.2348313741020482,0.7704757051247714,0.31459785778367383,11123.0,local,0.1,4,full,False,client1
11,0.8761904761904762,0.21923648471880025,0.7274021480672282,0.2741637527937296,11218.9,local,0.1,4,full,False,client1
13,0.883095238095238,0.26887359301601593,0.7664381769844104,0.3260832642287254,11314.9,local,0.1,4,full,False,client1
15,0.8857142857142857,0.24234222140792316,0.7828940293515733,0.33341684089844165,11410.6,local,0.1,4,full,False,client1
17,0.883095238095238,0.2601125649813208,0.7982957070403777,0.3340879975574374,11506.5,local,0.1,4,full,False,client1
19,0.8842857142857142,0.2622010954916421,0.7836796749104629,0.324184671723209,11602.5,local,0.1,4,full,False,client1
21,0.885,0.23913623472059106,0.7898117871690608,0.33447447800930524,11699.4,local,0.1,4,full,False,client1
23,0.8852380952380953,0.24302265011913993,0.7312780802487217,0.3118831172982878,11794.3,local,0.1,4,full,False,client1
25,0.8833333333333333,0.237541805669148,0.7458817563896035,0.3674573931992034,11890.1,local,0.1,4,full,False,client1
27,0.8869047619047619,0.2730901078417676,0.7988192378750963,0.36450909381050167,11985.0,local,0.1,4,full,False,client1
29,0.8835714285714286,0.2522661275743397,0.7855247673299075,0.3684503725681286,12079.4,local,0.1,4,full,False,client1
31,0.8838095238095238,0.24831843986424237,0.7645090629067021,0.31061444064700844,12174.9,local,0.1,4,full,False,client1
33,0.8823809523809524,0.26497549102078716,0.7439203784998708,0.332162157621908,12269.8,local,0.1,4,full,False,client1
35,0.8869047619047619,0.27138898621307433,0.7304412960975084,0.31203774671918455,12364.3,local,0.1,4,full,False,client1
37,0.8859523809523809,0.25781602730039055,0.7218340703398983,0.32515250671910373,12459.0,local,0.1,4,full,False,client1
39,0.8845238095238095,0.27899273070207803,0.741974241920383,0.3360794980928016,12553.9,local,0.1,4,full,False,client1
41,0.8842857142857142,0.24211844014296333,0.7555343350478402,0.3042919537388161,12649.3,local,0.1,4,full,False,client1
43,0.8852380952380953,0.2731692649918394,0.7518779873821332,0.32985983075074,12744.2,local,0.1,4,full,False,client1
45,0.8866666666666667,0.2612156889817932,0.747488924260938,0.3245474888628987,12839.0,local,0.1,4,full,False,client1
47,0.8845238095238095,0.2595808684440834,0.7714860330996158,0.33377406018115124,12934.2,local,0.1,4,full,False,client1
49,0.8845238095238095,0.24436324079181224,0.7567826915289064,0.3165694412328957,13029.5,local,0.1,4,full,False,client1
51,0.8845238095238095,0.2816591893318236,0.7403967064405484,0.31847370956584825,13124.7,local,0.1,4,full,False,client1
53,0.885,0.2580682790512128,0.7525141525879403,0.3269938034639029,13219.5,local,0.1,4,full,False,client1
55,0.8857142857142857,0.2707534082826187,0.7742840565193452,0.3322923447466316,13314.6,local,0.1,4,full,False,client1
57,0.8845238095238095,0.2714067565306329,0.763292901885835,0.3255982857569623,13409.1,local,0.1,4,full,False,client1
59,0.8866666666666667,0.27211330142227946,0.7748013851284442,0.3253134126154909,13504.1,local,0.1,4,full,False,client1
61,0.8854761904761905,0.26767875747467584,0.7693384827488794,0.33303682014885855,13599.5,local,0.1,4,full,False,client1
63,0.8852380952380953,0.25636121921214994,0.7747440767288748,0.31936908787414403,13694.3,local,0.1,4,full,False,client1
65,0.8876190476190476,0.2831948455866309,0.7749729809275703,0.34005397424885764,13788.9,local,0.1,4,full,False,client1
67,0.8861904761904762,0.2656943212067436,0.7802073877490115,0.3340671031572108,13883.9,local,0.1,4,full,False,client1
69,0.8861904761904762,0.27749500278302125,0.7843056855113775,0.33983850910039043,13978.5,local,0.1,4,full,False,client1
71,0.8866666666666667,0.27391942943185177,0.7834643682732466,0.34815380613324415,14073.1,local,0.1,4,full,False,client1
73,0.8854761904761905,0.269937987935609,0.7788948656303089,0.33862361553968384,14168.8,local,0.1,4,full,False,client1
75,0.8861904761904762,0.2722276424998626,0.7772173211918301,0.3400128777430894,14264.3,local,0.1,4,full,False,client1
77,0.8866666666666667,0.2749470155996705,0.7782129773067737,0.34420187140012504,14359.5,local,0.1,4,full,False,client1
79,0.8873809523809524,0.2853135603135603,0.7797163518367846,0.3413233825493499,14454.3,local,0.1,4,full,False,client1
1,0.8535714285714285,0.09558263151294147,0.6958260330446595,0.22445445527139565,14513.3,local,0.1,4,full,False,client2
3,0.8480952380952381,0.13186365096320354,0.6767186481115625,0.3163168243505984,14569.4,local,0.1,4,full,False,client2
5,0.8602380952380952,0.20367409424850463,0.702013583725446,0.38670492335786383,14625.5,local,0.1,4,full,False,client2
7,0.8416666666666667,0.25811560079804224,0.6906439527322628,0.3497809440948096,14681.5,local,0.1,4,full,False,client2
9,0.8745238095238095,0.2471295505569699,0.6853642169713395,0.3542909530288253,14738.2,local,0.1,4,full,False,client2
11,0.8685714285714285,0.24279546596685767,0.7242365482869937,0.34654214382688625,14794.9,local,0.1,4,full,False,client2
13,0.8573809523809524,0.2650332874196511,0.7124638374112724,0.36482475903009304,14851.2,local,0.1,4,full,False,client2
15,0.8638095238095238,0.2750315072630462,0.7023476265499671,0.3746443192007452,14907.4,local,0.1,4,full,False,client2
17,0.8714285714285714,0.27500429381283276,0.7281366106296439,0.3777863324400625,14963.4,local,0.1,4,full,False,client2
19,0.8528571428571429,0.2704748533149297,0.7185473900129272,0.33417764751483386,15019.4,local,0.1,4,full,False,client2
21,0.8611904761904762,0.3060895481593028,0.7457095498107248,0.38076405504841004,15075.4,local,0.1,4,full,False,client2
23,0.8592857142857143,0.33068571928034046,0.7574237021484519,0.37801870522713316,15132.1,local,0.1,4,full,False,client2
25,0.8764285714285714,0.3166124063622598,0.7453328699055871,0.37405611919309567,15188.5,local,0.1,4,full,False,client2
27,0.8771428571428571,0.3169918620959184,0.7292696572822365,0.3633829014209426,15245.1,local,0.1,4,full,False,client2
29,0.8676190476190476,0.3083724671007655,0.7245348382762854,0.3568432486325097,15301.5,local,0.1,4,full,False,client2
31,0.8716666666666667,0.2923787877633996,0.7326435554730109,0.356805294845687,15358.3,local,0.1,4,full,False,client2
33,0.87,0.32087413077840177,0.7446254785228,0.36366258362001486,15415.0,local,0.1,4,full,False,client2
35,0.8735714285714286,0.3103860666874149,0.7263062876573775,0.35838235874077046,15471.2,local,0.1,4,full,False,client2
37,0.8728571428571429,0.30664170587294953,0.7551285785021923,0.36118455072609995,15527.6,local,0.1,4,full,False,client2
39,0.8735714285714286,0.3211568127167733,0.7473748306152387,0.3598040673549792,15583.8,local,0.1,4,full,False,client2
41,0.8738095238095238,0.2859181909511173,0.728035799844555,0.3824176142676407,15639.8,local,0.1,4,full,False,client2
43,0.871904761904762,0.2888460660335302,0.7377587849092186,0.36680514835918665,15696.0,local,0.1,4,full,False,client2
45,0.8816666666666667,0.3079146123674185,0.7403495179257094,0.37924653413300735,15753.1,local,0.1,4,full,False,client2
47,0.8711904761904762,0.3096045370195714,0.7232306532168816,0.3486390472405567,15810.3,local,0.1,4,full,False,client2
49,0.8773809523809524,0.30948564672442663,0.7432933593770754,0.3770117803001166,15866.9,local,0.1,4,full,False,client2
51,0.875,0.31586533877303313,0.7312961149791202,0.3690218398909549,15923.5,local,0.1,4,full,False,client2
53,0.8757142857142857,0.31812027161985446,0.7435612900231566,0.38478334136605047,15979.6,local,0.1,4,full,False,client2
55,0.8785714285714286,0.3229031991924082,0.7359908637080607,0.38681995698040134,16037.5,local,0.1,4,full,False,client2
57,0.8752380952380953,0.305820976182328,0.7330149928968331,0.3885559186546547,16093.6,local,0.1,4,full,False,client2
59,0.8757142857142857,0.32793406079585624,0.74648495595111,0.3880942604296122,16149.9,local,0.1,4,full,False,client2
61,0.8761904761904762,0.3194451800567962,0.7426412071872253,0.38779065976741794,16206.1,local,0.1,4,full,False,client2
63,0.8761904761904762,0.3231410845052203,0.7459207168702802,0.3860978348934688,16262.7,local,0.1,4,full,False,client2
65,0.8783333333333333,0.3276772942094784,0.7432174813994525,0.38514902737694345,16318.9,local,0.1,4,full,False,client2
67,0.8757142857142857,0.3268942380908814,0.734204963746711,0.3876710389733173,16375.1,local,0.1,4,full,False,client2
69,0.8776190476190476,0.3262600571815783,0.7515871363550819,0.38604118725317976,16431.1,local,0.1,4,full,False,client2
71,0.8769047619047619,0.3079091379245714,0.7455569365360822,0.3879149006345318,16487.2,local,0.1,4,full,False,client2
73,0.8783333333333333,0.32766998771632133,0.7461677132995156,0.38642712694900183,16543.4,local,0.1,4,full,False,client2
75,0.8764285714285714,0.3264542398771971,0.7452680756388607,0.387056526036381,16600.5,local,0.1,4,full,False,client2
77,0.8771428571428571,0.32687260799897355,0.7446149816795301,0.3870814467788516,16657.0,local,0.1,4,full,False,client2
79,0.8769047619047619,0.32602172983298205,0.7402074038239869,0.38607805766565473,16713.5,local,0.1,4,full,False,client2
1,0.9130952380952381,0.06536140627049718,0.6472352902114141,0.1847811086806699,16794.3,local,0.1,4,full,False,client3
3,0.8988095238095238,0.0757020757020757,0.6339480626452568,0.18154840980984158,16873.9,local,0.1,4,full,False,client3
5,0.8971428571428571,0.07558372381753374,0.6404148146618539,0.20502253321393557,16954.1,local,0.1,4,full,False,client3
7,0.8985714285714286,0.07256686485139577,0.6605477967793207,0.1952436052089027,17033.7,local,0.1,4,full,False,client3
9,0.8940476190476191,0.07698557892056344,0.6777889592535915,0.23309093514832632,17113.8,local,0.1,4,full,False,client3
11,0.89,0.1002227191694504,0.6751075002221184,0.2209585274492949,17193.6,local,0.1,4,full,False,client3
13,0.9026190476190477,0.09815394649398675,0.656756392469256,0.21273073491773614,17273.9,local,0.1,4,full,False,client3
15,0.893095238095238,0.11003410406213573,0.6956760877408994,0.23360453795502134,17353.4,local,0.1,4,full,False,client3
17,0.8933333333333333,0.09842879618999023,0.5940381373157297,0.18614004162844341,17433.0,local,0.1,4,full,False,client3
19,0.8869047619047619,0.10637284091355373,0.6063004975427654,0.22741098537470392,17513.3,local,0.1,4,full,False,client3
21,0.8985714285714286,0.10535324212941423,0.643597080535744,0.2478397063155753,17593.1,local,0.1,4,full,False,client3
23,0.8857142857142857,0.11633928187199757,0.6739159771346762,0.21404344200043088,17673.4,local,0.1,4,full,False,client3
25,0.8940476190476191,0.10942893803918649,0.6280128076065626,0.23462482919230634,17752.8,local,0.1,4,full,False,client3
27,0.8919047619047619,0.12413536893817925,0.6266183020490398,0.20264675074170527,17832.4,local,0.1,4,full,False,client3
29,0.8966666666666666,0.12028370077745068,0.6576224666243532,0.2396751774109473,17912.0,local,0.1,4,full,False,client3
31,0.8997619047619048,0.13492690430718063,0.6708884853664061,0.23158337670524537,17992.0,local,0.1,4,full,False,client3
33,0.8821428571428571,0.09499123989239129,0.674489807780318,0.23660227697326489,18071.6,local,0.1,4,full,False,client3
35,0.8995238095238095,0.12064879564879565,0.6811263741932241,0.2273893984694785,18151.7,local,0.1,4,full,False,client3
37,0.8952380952380953,0.14382813971344546,0.6639309904214882,0.24520925734830734,18231.2,local,0.1,4,full,False,client3
39,0.8954761904761904,0.12131061885419732,0.6569420154621273,0.21490592123069804,18310.8,local,0.1,4,full,False,client3
41,0.8888095238095238,0.09936885738383927,0.6270332661874558,0.20222158760881678,18390.7,local,0.1,4,full,False,client3
43,0.8902380952380953,0.09851056595222832,0.6445293108475686,0.2365475858727797,18470.1,local,0.1,4,full,False,client3
45,0.8890476190476191,0.10753561313422556,0.632941477657957,0.19983052346659777,18549.8,local,0.1,4,full,False,client3
47,0.8933333333333333,0.11212241366488125,0.6497849593614025,0.2521868226462587,18629.3,local,0.1,4,full,False,client3
49,0.8895238095238095,0.11547054044289783,0.6521527335864615,0.2165237198783279,18709.3,local,0.1,4,full,False,client3
51,0.888095238095238,0.11576171896506522,0.6872239916740023,0.23347778806567962,18789.1,local,0.1,4,full,False,client3
53,0.888095238095238,0.1057245296531786,0.6677899435280293,0.23220097433996534,18868.7,local,0.1,4,full,False,client3
55,0.8838095238095238,0.1075078904834297,0.6393809793846872,0.2283947770037295,18948.3,local,0.1,4,full,False,client3
57,0.8911904761904762,0.11095705918459993,0.6553267860861023,0.23683606716652758,19028.0,local,0.1,4,full,False,client3
59,0.8945238095238095,0.10948356666002006,0.6690007519187106,0.2378953185830585,19107.5,local,0.1,4,full,False,client3
61,0.895952380952381,0.12896968579518403,0.6606030319669739,0.23635344460155056,19186.9,local,0.1,4,full,False,client3
63,0.8928571428571429,0.11979737039249383,0.659295814520584,0.23014507466046083,19266.6,local,0.1,4,full,False,client3
65,0.8942857142857142,0.1265677088776891,0.6534522854661093,0.23006738615798072,19346.3,local,0.1,4,full,False,client3
67,0.8895238095238095,0.10580413869734608,0.6609129533079724,0.22930581506810352,19426.0,local,0.1,4,full,False,client3
69,0.8966666666666666,0.12491360556666364,0.6615982283412405,0.20895806893073257,19505.5,local,0.1,4,full,False,client3
71,0.8926190476190476,0.12793623792005668,0.6594114536042778,0.2323519600860952,19585.0,local,0.1,4,full,False,client3
73,0.8933333333333333,0.1163415570846079,0.6586635538511837,0.23623503464874568,19664.6,local,0.1,4,full,False,client3
75,0.895,0.11525866024795715,0.6598972695932055,0.2363386469337743,19744.3,local,0.1,4,full,False,client3
77,0.8940476190476191,0.12574347269095568,0.6594388620038736,0.23710731535132903,19824.3,local,0.1,4,full,False,client3
79,0.8942857142857142,0.10982283297531699,0.6639899152616621,0.2354577967654186,19903.9,local,0.1,4,full,False,client3
79,0.8863690476190476,0.19885771385400136,0.7432705844986325,0.28999814781280736,19903.9,local,0.1,4,full,False,AVERAGE
