epoch,hamming_acc,macro_f1,auroc,auprc,seconds,mode,alpha,clients,mm_ratio,vary_embed,which_client
1,0.929047619047619,0.06365063507920651,0.75635627107297,0.22569007487452253,132.0,local,100.0,4,1:3,False,client0
3,0.9442857142857143,0.15880786677137668,0.8193511949790591,0.3215816200501426,259.4,local,100.0,4,1:3,False,client0
5,0.9454761904761905,0.21013389553287684,0.845526756494537,0.342449503263261,386.9,local,100.0,4,1:3,False,client0
7,0.9495238095238095,0.2439934919186057,0.8423324954313698,0.33720042873615735,514.7,local,100.0,4,1:3,False,client0
9,0.9435714285714286,0.23657581371992592,0.8403485384938537,0.31132777763260094,642.8,local,100.0,4,1:3,False,client0
11,0.9435714285714286,0.2268594626526876,0.8308093398267298,0.30610757030079455,770.3,local,100.0,4,1:3,False,client0
13,0.935952380952381,0.22302958031791806,0.7882230366731738,0.30809738480349874,897.8,local,100.0,4,1:3,False,client0
15,0.9414285714285714,0.25497912813011997,0.8340575681687323,0.3329866591108919,1025.8,local,100.0,4,1:3,False,client0
17,0.944047619047619,0.2695734321687176,0.8302159326768281,0.32047028016244244,1152.8,local,100.0,4,1:3,False,client0
19,0.9430952380952381,0.22499937682067397,0.8226303977899575,0.31362043408379137,1278.8,local,100.0,4,1:3,False,client0
21,0.9414285714285714,0.25924592059045837,0.8337295400328334,0.3044312552250102,1409.2,local,100.0,4,1:3,False,client0
23,0.9392857142857143,0.24338369785988098,0.8319700814322925,0.3057322552002707,1537.0,local,100.0,4,1:3,False,client0
25,0.9442857142857143,0.2647474006506447,0.8315373085419152,0.2967945952448306,1664.5,local,100.0,4,1:3,False,client0
27,0.9423809523809524,0.29336671737431846,0.804824730444356,0.30916569892695467,1792.1,local,100.0,4,1:3,False,client0
29,0.9426190476190476,0.22673696887263892,0.7930811834824619,0.27936885098478836,1920.5,local,100.0,4,1:3,False,client0
31,0.9404761904761905,0.2447448108763013,0.7827049135738111,0.27916834834075155,2047.9,local,100.0,4,1:3,False,client0
33,0.9430952380952381,0.2587466121744072,0.7948182767025933,0.301579155820213,2175.1,local,100.0,4,1:3,False,client0
35,0.9383333333333334,0.23647824690536492,0.7525628205771786,0.28546135448364196,2303.4,local,100.0,4,1:3,False,client0
37,0.9397619047619048,0.25786813189890684,0.7517071474034759,0.2939364228282316,2432.9,local,100.0,4,1:3,False,client0
39,0.9423809523809524,0.2606515915406246,0.8146759692541831,0.30888281426624614,2561.0,local,100.0,4,1:3,False,client0
41,0.9323809523809524,0.23020246001743647,0.7908833744124415,0.276275908209473,2690.9,local,100.0,4,1:3,False,client0
43,0.9421428571428572,0.24914809475917662,0.8043545750720008,0.2992544857811482,2819.9,local,100.0,4,1:3,False,client0
45,0.9447619047619048,0.24439587740067603,0.7991978702259209,0.30099262897518486,2948.9,local,100.0,4,1:3,False,client0
47,0.9347619047619048,0.24093389190363182,0.8238516626668787,0.29179602394101456,3077.9,local,100.0,4,1:3,False,client0
49,0.9423809523809524,0.259494439603623,0.8117633810940965,0.31107951133107903,3209.0,local,100.0,4,1:3,False,client0
51,0.9383333333333334,0.2563568813189143,0.8277005677386263,0.3084047638177917,3341.3,local,100.0,4,1:3,False,client0
53,0.9435714285714286,0.2720684297439275,0.8179730885130434,0.31553712688592433,3469.8,local,100.0,4,1:3,False,client0
55,0.9428571428571428,0.2615913143577023,0.8074650462668298,0.314520818798603,3598.8,local,100.0,4,1:3,False,client0
57,0.9426190476190476,0.2525520996224204,0.8332755172582231,0.3197793386430292,3727.5,local,100.0,4,1:3,False,client0
59,0.9404761904761905,0.25601090414872824,0.8117006379229503,0.3189583101228391,3856.6,local,100.0,4,1:3,False,client0
61,0.9423809523809524,0.2602675997784621,0.8282643697668969,0.31661654048211496,3986.5,local,100.0,4,1:3,False,client0
63,0.9442857142857143,0.2612620408970038,0.8183462577410702,0.31786750545823755,4119.2,local,100.0,4,1:3,False,client0
65,0.9430952380952381,0.2573596323596324,0.8169273214844336,0.3138196459523228,4251.3,local,100.0,4,1:3,False,client0
67,0.944047619047619,0.26178178835124627,0.8124921547468886,0.3162967647810882,4381.9,local,100.0,4,1:3,False,client0
69,0.9428571428571428,0.24941390293405116,0.8210367477187296,0.31754570428497403,4511.2,local,100.0,4,1:3,False,client0
71,0.9414285714285714,0.25764120818576214,0.8121637466724084,0.3157062695904397,4640.2,local,100.0,4,1:3,False,client0
73,0.9445238095238095,0.257440198930272,0.8239954580426021,0.31525647910204524,4770.0,local,100.0,4,1:3,False,client0
75,0.945,0.26345103304746387,0.8249603233553401,0.31861780743846513,4899.0,local,100.0,4,1:3,False,client0
77,0.9421428571428572,0.24896436702021352,0.8188134666162935,0.31496599019339033,5028.1,local,100.0,4,1:3,False,client0
79,0.940952380952381,0.2528418565702361,0.8114936662482389,0.3129055269514324,5156.5,local,100.0,4,1:3,False,client0
1,0.910952380952381,0.054503334503334507,0.6856632388725561,0.25885046229909187,5200.5,local,100.0,4,1:3,False,client1
3,0.9142857142857143,0.07077984674555632,0.7354463589574299,0.27671123862107716,5242.9,local,100.0,4,1:3,False,client1
5,0.91,0.10234038396759848,0.7077128973526394,0.1936530269264128,5285.3,local,100.0,4,1:3,False,client1
7,0.9116666666666666,0.09747463010076265,0.7419387788494357,0.1983403481945536,5327.8,local,100.0,4,1:3,False,client1
9,0.909047619047619,0.109081573221416,0.7083442335528876,0.27252819319326016,5370.1,local,100.0,4,1:3,False,client1
11,0.9080952380952381,0.10618208827164051,0.6639109823414451,0.18788318786393016,5412.8,local,100.0,4,1:3,False,client1
13,0.9007142857142857,0.14179158505507466,0.6981722628825453,0.21551248689762983,5455.3,local,100.0,4,1:3,False,client1
15,0.8971428571428571,0.09756354793970322,0.6786398409556733,0.16574474610269965,5497.6,local,100.0,4,1:3,False,client1
17,0.9047619047619048,0.1140292619877047,0.6716247342322477,0.19774188967710662,5540.1,local,100.0,4,1:3,False,client1
19,0.909047619047619,0.12964563867425863,0.7032148228224449,0.18331717913321383,5582.6,local,100.0,4,1:3,False,client1
21,0.9119047619047619,0.12786872600488436,0.6998523422667463,0.24149744483523813,5625.0,local,100.0,4,1:3,False,client1
23,0.9045238095238095,0.16051824454472677,0.6930044444863357,0.18065464243399093,5667.3,local,100.0,4,1:3,False,client1
25,0.9088095238095238,0.12117908367908367,0.6665172539049588,0.2488859428736585,5709.8,local,100.0,4,1:3,False,client1
27,0.9097619047619048,0.11855739510926859,0.6947955272639483,0.20063414481252212,5752.4,local,100.0,4,1:3,False,client1
29,0.9130952380952381,0.14699402720944899,0.6580506616676788,0.19678495590908127,5794.9,local,100.0,4,1:3,False,client1
31,0.9111904761904762,0.15839151450053707,0.671802830052372,0.21374036944396038,5837.5,local,100.0,4,1:3,False,client1
33,0.9130952380952381,0.11780469236856037,0.6303497609584836,0.19227572606665502,5879.9,local,100.0,4,1:3,False,client1
35,0.9066666666666666,0.1432294111415932,0.7129150045279643,0.20284499220771698,5922.5,local,100.0,4,1:3,False,client1
37,0.9130952380952381,0.16144460371399344,0.7028529974042816,0.20852929208264473,5965.0,local,100.0,4,1:3,False,client1
39,0.9116666666666666,0.15339388558284178,0.6866849548637827,0.20100726541414285,6007.6,local,100.0,4,1:3,False,client1
41,0.9054761904761904,0.1482053717034686,0.7072035905465054,0.19868254749933284,6050.0,local,100.0,4,1:3,False,client1
43,0.9035714285714286,0.13555935610690859,0.7043485366440597,0.19934293251062232,6092.5,local,100.0,4,1:3,False,client1
45,0.9085714285714286,0.14686835562014902,0.7118234650117036,0.2092135586514944,6135.0,local,100.0,4,1:3,False,client1
47,0.9078571428571428,0.1590514658806906,0.6919378396993412,0.2010983121733099,6177.3,local,100.0,4,1:3,False,client1
49,0.9019047619047619,0.14021227155665314,0.6859451947430651,0.20190074543423142,6219.8,local,100.0,4,1:3,False,client1
51,0.9076190476190477,0.15910209497105302,0.6984554190167611,0.2132427851082745,6262.3,local,100.0,4,1:3,False,client1
53,0.9073809523809524,0.16902770080614202,0.7088835084509286,0.22955666412273068,6304.8,local,100.0,4,1:3,False,client1
55,0.9097619047619048,0.15941043636877664,0.7035014762944897,0.2157354543303848,6347.1,local,100.0,4,1:3,False,client1
57,0.9128571428571428,0.16599572461311002,0.713842107431062,0.22148389960924802,6389.6,local,100.0,4,1:3,False,client1
59,0.9073809523809524,0.14395278492837607,0.7098900219795615,0.2200904797570649,6432.1,local,100.0,4,1:3,False,client1
61,0.9076190476190477,0.14205702551290786,0.7019297542965902,0.2096971022193937,6474.6,local,100.0,4,1:3,False,client1
63,0.9097619047619048,0.1568461924030242,0.6878560901737296,0.2149603046930785,6517.1,local,100.0,4,1:3,False,client1
65,0.9071428571428571,0.14940316242984825,0.6909055308967413,0.21070576387231404,6559.5,local,100.0,4,1:3,False,client1
67,0.9071428571428571,0.14199997573378542,0.6946582469995358,0.21043630423858434,6602.4,local,100.0,4,1:3,False,client1
69,0.9080952380952381,0.1441310431139595,0.6924747386330196,0.20410651731313653,6644.8,local,100.0,4,1:3,False,client1
71,0.9064285714285715,0.14531757687150973,0.6857448063053665,0.20571325815324457,6687.3,local,100.0,4,1:3,False,client1
73,0.9085714285714286,0.1496385218179099,0.6824663777609483,0.21152696618351552,6729.7,local,100.0,4,1:3,False,client1
75,0.9107142857142857,0.14996789175698827,0.7004873094487415,0.21064607059470553,6772.7,local,100.0,4,1:3,False,client1
77,0.9104761904761904,0.14673881224997015,0.6954457372176828,0.20923481716045095,6816.0,local,100.0,4,1:3,False,client1
79,0.9102380952380953,0.14431071614316962,0.693894795474578,0.21233297456864825,6858.0,local,100.0,4,1:3,False,client1
1,0.9104761904761904,0.033909984405033906,0.6854857040061636,0.20219272849092107,6903.7,local,100.0,4,1:3,False,client2
3,0.9085714285714286,0.06679662752653458,0.6991889846772333,0.17465123867011265,6947.9,local,100.0,4,1:3,False,client2
5,0.9035714285714286,0.0967199813478089,0.6403386833170673,0.18130127653681807,6992.0,local,100.0,4,1:3,False,client2
7,0.9092857142857143,0.09549492033677173,0.673592616013347,0.2742069320649399,7036.1,local,100.0,4,1:3,False,client2
9,0.9064285714285715,0.1138736424108072,0.6667811823265596,0.19642119346424694,7080.3,local,100.0,4,1:3,False,client2
11,0.9114285714285715,0.1640541502315955,0.7046438602872256,0.2616581632131769,7124.4,local,100.0,4,1:3,False,client2
13,0.895,0.15159640743877342,0.6674753690585528,0.2335043342565287,7168.3,local,100.0,4,1:3,False,client2
15,0.9021428571428571,0.15455339225064252,0.6856527886661617,0.2128545391334143,7212.4,local,100.0,4,1:3,False,client2
17,0.9104761904761904,0.15329776152058086,0.6816204176874852,0.20079835836062615,7256.4,local,100.0,4,1:3,False,client2
19,0.9057142857142857,0.1757844884229824,0.6970939583250184,0.23293416696042032,7300.4,local,100.0,4,1:3,False,client2
21,0.9128571428571428,0.13536452515707567,0.7019592028287011,0.19307026840833172,7344.3,local,100.0,4,1:3,False,client2
23,0.8980952380952381,0.12073725881747009,0.678558105461702,0.22302426450946836,7388.3,local,100.0,4,1:3,False,client2
25,0.905,0.12862932944429797,0.6727500232044435,0.20039403920722593,7432.4,local,100.0,4,1:3,False,client2
27,0.9104761904761904,0.14919207983318852,0.6674387634145617,0.2002370037510186,7476.4,local,100.0,4,1:3,False,client2
29,0.9097619047619048,0.16470068046422726,0.6699657299514271,0.2183739363694087,7520.3,local,100.0,4,1:3,False,client2
31,0.9052380952380953,0.15770060232971342,0.6548919111241778,0.21729658451849213,7564.4,local,100.0,4,1:3,False,client2
33,0.9119047619047619,0.1546331649969983,0.646108723037459,0.2008728558734774,7608.4,local,100.0,4,1:3,False,client2
35,0.9045238095238095,0.17493997193548494,0.6804314419676549,0.2128393851604089,7652.4,local,100.0,4,1:3,False,client2
37,0.9130952380952381,0.20968801645820276,0.7102191026226347,0.22931488580420084,7696.4,local,100.0,4,1:3,False,client2
39,0.9133333333333333,0.16596172971756976,0.6901779337404267,0.22289959487624794,7740.3,local,100.0,4,1:3,False,client2
41,0.9114285714285715,0.17268293721782094,0.6991970514341297,0.22636305730324496,7784.5,local,100.0,4,1:3,False,client2
43,0.905,0.17817996186121324,0.6784102462939471,0.2073957357585682,7828.4,local,100.0,4,1:3,False,client2
45,0.9104761904761904,0.16236223860865082,0.6880534988859379,0.24525460200790228,7872.5,local,100.0,4,1:3,False,client2
47,0.915,0.18205392396192924,0.6885079052257851,0.2446170561733536,7916.4,local,100.0,4,1:3,False,client2
49,0.9092857142857143,0.16768285963954943,0.6788450583113066,0.22868195398620345,7960.3,local,100.0,4,1:3,False,client2
51,0.9123809523809524,0.1698243363905003,0.7074961179301448,0.2676948854296343,8004.3,local,100.0,4,1:3,False,client2
53,0.9114285714285715,0.17225692520715086,0.6992302697788405,0.2424131028301233,8048.3,local,100.0,4,1:3,False,client2
55,0.9111904761904762,0.16711110274757063,0.7110219282450447,0.22356212058779587,8092.6,local,100.0,4,1:3,False,client2
