epoch,hamming_acc,macro_f1,auroc,auprc,seconds,mode,alpha,clients,mm_ratio,vary_embed,which_client
1,0.9504761904761905,0.18117321071017084,0.8279580315172222,0.32483839203461645,139.3,local,100.0,4,1:3,True,client0
3,0.9561904761904761,0.2512257661989835,0.8303241444721631,0.36340377854837885,291.6,local,100.0,4,1:3,True,client0
5,0.9507142857142857,0.2896521751525746,0.8750734416901691,0.4626920417199524,460.3,local,100.0,4,1:3,True,client0
7,0.9538095238095238,0.2934527332664953,0.8865416829651515,0.39700183402731454,617.9,local,100.0,4,1:3,True,client0
9,0.9638095238095238,0.35392528450686855,0.8948284735853502,0.44883148107265186,772.8,local,100.0,4,1:3,True,client0
11,0.9561904761904761,0.3456089372939734,0.8526969961890574,0.4802563826790221,928.6,local,100.0,4,1:3,True,client0
13,0.9564285714285714,0.34430488617789295,0.8855605837775237,0.4531986454456464,1074.7,local,100.0,4,1:3,True,client0
15,0.9578571428571429,0.38144056502034196,0.8517469296741691,0.4339428323922378,1235.1,local,100.0,4,1:3,True,client0
17,0.9614285714285714,0.374182964114575,0.8483539937149726,0.438837634057298,1374.9,local,100.0,4,1:3,True,client0
19,0.9592857142857143,0.4137367659969722,0.8476121215297556,0.4567112030450695,1513.9,local,100.0,4,1:3,True,client0
21,0.9611904761904762,0.40227240377335294,0.8476806289055376,0.4421999194908854,1652.9,local,100.0,4,1:3,True,client0
23,0.9623809523809523,0.39611459968602825,0.8544023928205725,0.44112029541171566,1791.9,local,100.0,4,1:3,True,client0
25,0.9595238095238096,0.3953335271888148,0.8276207383515928,0.431996355450551,1930.6,local,100.0,4,1:3,True,client0
27,0.9592857142857143,0.3834358655709543,0.8331998657369998,0.4266064315200943,2074.5,local,100.0,4,1:3,True,client0
29,0.9630952380952381,0.3933853214745861,0.8244557908721747,0.4487368948910029,2213.9,local,100.0,4,1:3,True,client0
31,0.9588095238095238,0.3818730222146852,0.8576231710247669,0.4724839329039025,2353.1,local,100.0,4,1:3,True,client0
33,0.9642857142857143,0.39531757588762406,0.8159596287843459,0.4490975350442416,2501.7,local,100.0,4,1:3,True,client0
35,0.9619047619047619,0.3714595830769777,0.8346498112176464,0.4645042067685874,2666.1,local,100.0,4,1:3,True,client0
37,0.96,0.38446150868844764,0.8499628214135738,0.4491534290579539,2834.7,local,100.0,4,1:3,True,client0
39,0.9630952380952381,0.38138719351156297,0.849624958227321,0.4706328007946277,3001.2,local,100.0,4,1:3,True,client0
41,0.9607142857142857,0.3749080684309389,0.8281220363069685,0.452253795470015,3142.7,local,100.0,4,1:3,True,client0
43,0.9628571428571429,0.39819790636032015,0.8552817158100484,0.4503406237589858,3309.8,local,100.0,4,1:3,True,client0
45,0.9654761904761905,0.3910081862836864,0.8794465775955622,0.47151470521374445,3467.7,local,100.0,4,1:3,True,client0
47,0.9635714285714285,0.4317754054992814,0.8774613425669539,0.46992850653728907,3621.5,local,100.0,4,1:3,True,client0
49,0.9597619047619048,0.3875850299471103,0.8796484015574906,0.4583369271729008,3762.4,local,100.0,4,1:3,True,client0
51,0.9616666666666667,0.3809151422492411,0.8590330525864674,0.4581759362844009,3897.2,local,100.0,4,1:3,True,client0
53,0.9647619047619047,0.40238813053366956,0.8865085291912962,0.4666514423581378,4038.0,local,100.0,4,1:3,True,client0
55,0.9626190476190476,0.38519227750079615,0.879228408258944,0.4650958162012157,4175.1,local,100.0,4,1:3,True,client0
57,0.9647619047619047,0.4142748184506691,0.8610352449203914,0.4768342017543266,4310.7,local,100.0,4,1:3,True,client0
59,0.9623809523809523,0.41737197661020314,0.8476749801331135,0.4848370043364278,4445.2,local,100.0,4,1:3,True,client0
61,0.9626190476190476,0.3961719500036058,0.8707941415685265,0.4804670399215186,4578.5,local,100.0,4,1:3,True,client0
63,0.9633333333333334,0.4156675843221545,0.8585353279300413,0.47875345902024347,4709.6,local,100.0,4,1:3,True,client0
65,0.9630952380952381,0.3822002500729272,0.8654983578866744,0.467135707580574,4839.6,local,100.0,4,1:3,True,client0
67,0.9633333333333334,0.3958551395422547,0.8621912201825798,0.47667384461696605,4969.2,local,100.0,4,1:3,True,client0
69,0.9614285714285714,0.4003154612840007,0.8845232921913778,0.4764895277969248,5098.8,local,100.0,4,1:3,True,client0
71,0.9628571428571429,0.37954258851135025,0.8617837135344492,0.46138621500913135,5228.7,local,100.0,4,1:3,True,client0
73,0.9626190476190476,0.3928368033409457,0.8589243332960173,0.47859378187943136,5359.1,local,100.0,4,1:3,True,client0
75,0.9626190476190476,0.40602610149497564,0.8503901302166016,0.47693526052801766,5488.9,local,100.0,4,1:3,True,client0
77,0.9619047619047619,0.38232666213171634,0.8650841632221412,0.47807503975818283,5618.8,local,100.0,4,1:3,True,client0
79,0.9626190476190476,0.3814485461138487,0.8737036918077895,0.4854718506433236,5748.6,local,100.0,4,1:3,True,client0
1,0.910952380952381,0.054503334503334507,0.6856632388725561,0.25885046229909187,5793.1,local,100.0,4,1:3,True,client1
3,0.9142857142857143,0.07077984674555632,0.7354463589574299,0.27671123862107716,5835.9,local,100.0,4,1:3,True,client1
5,0.91,0.10234038396759848,0.7077128973526394,0.1936530269264128,5878.9,local,100.0,4,1:3,True,client1
7,0.9116666666666666,0.09747463010076265,0.7419387788494357,0.1983403481945536,5921.5,local,100.0,4,1:3,True,client1
9,0.909047619047619,0.109081573221416,0.7083442335528876,0.27252819319326016,5964.1,local,100.0,4,1:3,True,client1
11,0.9080952380952381,0.10618208827164051,0.6639109823414451,0.18788318786393016,6007.4,local,100.0,4,1:3,True,client1
13,0.9007142857142857,0.14179158505507466,0.6981722628825453,0.21551248689762983,6050.1,local,100.0,4,1:3,True,client1
15,0.8971428571428571,0.09756354793970322,0.6786398409556733,0.16574474610269965,6092.6,local,100.0,4,1:3,True,client1
17,0.9047619047619048,0.1140292619877047,0.6716247342322477,0.19774188967710662,6135.3,local,100.0,4,1:3,True,client1
19,0.909047619047619,0.12964563867425863,0.7032148228224449,0.18331717913321383,6178.0,local,100.0,4,1:3,True,client1
21,0.9119047619047619,0.12786872600488436,0.6998523422667463,0.24149744483523813,6220.6,local,100.0,4,1:3,True,client1
23,0.9045238095238095,0.16051824454472677,0.6930044444863357,0.18065464243399093,6263.2,local,100.0,4,1:3,True,client1
25,0.9088095238095238,0.12117908367908367,0.6665172539049588,0.2488859428736585,6305.8,local,100.0,4,1:3,True,client1
27,0.9097619047619048,0.11855739510926859,0.6947955272639483,0.20063414481252212,6348.5,local,100.0,4,1:3,True,client1
29,0.9130952380952381,0.14699402720944899,0.6580506616676788,0.19678495590908127,6391.0,local,100.0,4,1:3,True,client1
31,0.9111904761904762,0.15839151450053707,0.671802830052372,0.21374036944396038,6433.6,local,100.0,4,1:3,True,client1
33,0.9130952380952381,0.11780469236856037,0.6303497609584836,0.19227572606665502,6476.1,local,100.0,4,1:3,True,client1
35,0.9066666666666666,0.1432294111415932,0.7129150045279643,0.20284499220771698,6518.7,local,100.0,4,1:3,True,client1
37,0.9130952380952381,0.16144460371399344,0.7028529974042816,0.20852929208264473,6561.4,local,100.0,4,1:3,True,client1
39,0.9116666666666666,0.15339388558284178,0.6866849548637827,0.20100726541414285,6605.0,local,100.0,4,1:3,True,client1
41,0.9054761904761904,0.1482053717034686,0.7072035905465054,0.19868254749933284,6647.9,local,100.0,4,1:3,True,client1
43,0.9035714285714286,0.13555935610690859,0.7043485366440597,0.19934293251062232,6690.9,local,100.0,4,1:3,True,client1
45,0.9085714285714286,0.14686835562014902,0.7118234650117036,0.2092135586514944,6733.9,local,100.0,4,1:3,True,client1
47,0.9078571428571428,0.1590514658806906,0.6919378396993412,0.2010983121733099,6776.8,local,100.0,4,1:3,True,client1
49,0.9019047619047619,0.14021227155665314,0.6859451947430651,0.20190074543423142,6819.8,local,100.0,4,1:3,True,client1
51,0.9076190476190477,0.15910209497105302,0.6984554190167611,0.2132427851082745,6862.7,local,100.0,4,1:3,True,client1
53,0.9073809523809524,0.16902770080614202,0.7088835084509286,0.22955666412273068,6905.6,local,100.0,4,1:3,True,client1
55,0.9097619047619048,0.15941043636877664,0.7035014762944897,0.2157354543303848,6948.4,local,100.0,4,1:3,True,client1
57,0.9128571428571428,0.16599572461311002,0.713842107431062,0.22148389960924802,6991.3,local,100.0,4,1:3,True,client1
