epoch,hamming_acc,macro_f1,auroc,auprc,seconds,mode,alpha,clients,mm_ratio,vary_embed,which_client
1,0.9457142857142857,0.16606017400691156,0.8335958030440185,0.30145835218823064,130.3,local,100.0,4,full,True,client0
3,0.9507142857142857,0.2647330953794185,0.8386645803462656,0.39197095499912077,256.8,local,100.0,4,full,True,client0
5,0.9526190476190476,0.30991790095982263,0.8851295628542241,0.3945700067752182,384.7,local,100.0,4,full,True,client0
7,0.9526190476190476,0.3063304908383219,0.8691920954374103,0.4223237027625757,512.1,local,100.0,4,full,True,client0
9,0.9507142857142857,0.3221668001379637,0.8710117237876025,0.41211357506028656,640.2,local,100.0,4,full,True,client0
11,0.9514285714285714,0.3092912723487887,0.8669070217327759,0.4153649829341614,767.0,local,100.0,4,full,True,client0
13,0.955,0.33161095904998344,0.8764204782757478,0.4136315140965511,897.1,local,100.0,4,full,True,client0
15,0.9521428571428572,0.3140566786155022,0.8596780947025541,0.43488878994694674,1034.8,local,100.0,4,full,True,client0
17,0.9521428571428572,0.3332350541462691,0.8734252787142431,0.411626224360025,1161.4,local,100.0,4,full,True,client0
19,0.9516666666666667,0.35216791847921913,0.8219830724987355,0.40621538223647036,1288.0,local,100.0,4,full,True,client0
21,0.9516666666666667,0.3503760653596218,0.8639455650606426,0.4036454229661634,1414.6,local,100.0,4,full,True,client0
23,0.9516666666666667,0.33916899412409846,0.8426975613140995,0.4367862296669238,1541.4,local,100.0,4,full,True,client0
25,0.9545238095238096,0.3459038338470352,0.8700024388916873,0.42008776259818276,1667.9,local,100.0,4,full,True,client0
27,0.9514285714285714,0.34669309717536734,0.8558198478418015,0.4115097263172219,1794.5,local,100.0,4,full,True,client0
29,0.9569047619047619,0.3599023159159714,0.8636593079036105,0.412209997680044,1921.0,local,100.0,4,full,True,client0
31,0.9545238095238096,0.35403400915556565,0.8710261855280047,0.3871428010065798,2047.6,local,100.0,4,full,True,client0
33,0.9554761904761905,0.3642464604667616,0.868959985304273,0.40392872368254235,2174.2,local,100.0,4,full,True,client0
35,0.955,0.3325376691750249,0.8522226742939977,0.41774784631239237,2300.9,local,100.0,4,full,True,client0
37,0.9564285714285714,0.33467308492074593,0.8577819731584739,0.42247052899792564,2427.5,local,100.0,4,full,True,client0
39,0.9576190476190476,0.35474383348141825,0.8749221853870861,0.41204828337994515,2554.0,local,100.0,4,full,True,client0
