round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.915,0.040736607142857144,0.6944460599624487,0.1721772041140109,476.3,,1,fedavg,0.1,4,2670,40,8,False,False
1,0.9121428571428571,0.05764195712649321,0.7366432601899041,0.2391170617736966,471.9,,1,fedavg,0.1,4,2670,40,8,False,False
2,0.9152380952380952,0.05881713415959992,0.7549675850563633,0.21782832194682575,470.6,,1,fedavg,0.1,4,2670,40,8,False,False
3,0.9152380952380952,0.09348739495798318,0.7450065873949533,0.24178611205018724,471.1,,1,fedavg,0.1,4,2670,40,8,False,False
4,0.9204761904761904,0.1197150072150072,0.7749150957960699,0.25676077021466537,470.5,,1,fedavg,0.1,4,2670,40,8,False,False
5,0.92,0.15275092182387015,0.7714693568066264,0.30981969938915416,470.4,,1,fedavg,0.1,4,2670,40,8,False,False
6,0.9304761904761905,0.19559568100934238,0.80053759834682,0.3047830068967651,471.0,,1,fedavg,0.1,4,2670,40,8,False,False
7,0.9230952380952381,0.10934076658393975,0.7905815692904676,0.26288312057804364,470.3,,1,fedavg,0.1,4,2670,40,8,False,False
8,0.9164285714285715,0.07574062448975062,0.7459647575692466,0.2131151551774251,470.2,,1,fedavg,0.1,4,2670,40,8,False,False
9,0.9154761904761904,0.08979882275490843,0.7431612126604907,0.20560778458587928,470.6,,1,fedavg,0.1,4,2670,40,8,False,False
10,0.9119047619047619,0.07546106529025784,0.7228484659391679,0.21417413012197636,471.3,,1,fedavg,0.1,4,2670,40,8,False,False
11,0.9064285714285715,0.09197975044463706,0.7347563779778417,0.22603816082231104,472.5,,1,fedavg,0.1,4,2670,40,8,False,False
12,0.9135714285714286,0.10511377917972467,0.7198066193910012,0.19621272364939227,469.7,,1,fedavg,0.1,4,2670,40,8,False,False
13,0.9102380952380953,0.08160597480866347,0.7181040118365498,0.1886283715029259,470.2,,1,fedavg,0.1,4,2670,40,8,False,False
14,0.9085714285714286,0.11515450755082092,0.7268478480881321,0.20576070704814728,470.1,,1,fedavg,0.1,4,2670,40,8,False,False
15,0.9123809523809524,0.09212123710562159,0.7282326382565466,0.20809481138053004,469.9,,1,fedavg,0.1,4,2670,40,8,False,False
16,0.9116666666666666,0.08719931026325627,0.7260745930023865,0.2071733422236248,470.9,,1,fedavg,0.1,4,2670,40,8,False,False
17,0.9085714285714286,0.10285443607609547,0.7271178465240418,0.19252059216087655,470.3,,1,fedavg,0.1,4,2670,40,8,False,False
18,0.9145238095238095,0.09427189064212657,0.743287095169452,0.2596728525415306,470.0,,1,fedavg,0.1,4,2670,40,8,False,False
19,0.9076190476190477,0.09072544878182338,0.7063113821037643,0.1954843112144722,470.5,,1,fedavg,0.1,4,2670,40,8,False,False
20,0.9171428571428571,0.12212697477427145,0.7223659413279943,0.23281457120287744,470.5,,1,fedavg,0.1,4,2670,40,8,False,False
21,0.9085714285714286,0.07536333702179351,0.6953038208771783,0.22537806354485318,470.0,,1,fedavg,0.1,4,2670,40,8,False,False
22,0.9126190476190477,0.08121273356835666,0.6850317379167132,0.22041099877006637,480.9,,1,fedavg,0.1,4,2670,40,8,False,False
23,0.9116666666666666,0.07150574582116165,0.7050500859034605,0.2749017263479881,484.2,,1,fedavg,0.1,4,2670,40,8,False,False
24,0.9107142857142857,0.0913119887903633,0.7023654381918841,0.2231266926410376,477.3,,1,fedavg,0.1,4,2670,40,8,False,False
25,0.914047619047619,0.0930415071988336,0.7116145241814361,0.23396950409154424,487.3,,1,fedavg,0.1,4,2670,40,8,False,False
26,0.9111904761904762,0.07778744943923514,0.7028084620255914,0.2451236338829537,476.1,,1,fedavg,0.1,4,2670,40,8,False,False
27,0.9083333333333333,0.10448254253345438,0.6972188975340634,0.25561145500072346,478.3,,1,fedavg,0.1,4,2670,40,8,False,False
28,0.9095238095238095,0.08077179598596858,0.7073879878334955,0.19620936463091088,473.7,,1,fedavg,0.1,4,2670,40,8,False,False
29,0.9097619047619048,0.10309092831898257,0.6859366664362548,0.19452379163859254,476.9,,1,fedavg,0.1,4,2670,40,8,False,False
30,0.9083333333333333,0.1117523963639362,0.6866240320750563,0.1843150273097416,474.0,,1,fedavg,0.1,4,2670,40,8,False,False
31,0.9107142857142857,0.09637038757000257,0.7042399768070855,0.21143277892021337,475.0,,1,fedavg,0.1,4,2670,40,8,False,False
32,0.9116666666666666,0.08461356092935042,0.6835413069004622,0.18689897649579595,476.9,,1,fedavg,0.1,4,2670,40,8,False,False
33,0.91,0.10172778761593597,0.6875455095735928,0.1833831483522887,477.3,,1,fedavg,0.1,4,2670,40,8,False,False
34,0.9121428571428571,0.09483645256626808,0.6946004231873862,0.20672321663999238,476.5,,1,fedavg,0.1,4,2670,40,8,False,False
35,0.9111904761904762,0.08653703116171822,0.697819707801573,0.20588034342859587,476.3,,1,fedavg,0.1,4,2670,40,8,False,False
36,0.9095238095238095,0.08880338214230729,0.683881720003413,0.18479907245319208,467.2,,1,fedavg,0.1,4,2670,40,8,False,False
37,0.9133333333333333,0.08591613924598038,0.6568470049612624,0.17187882345418362,466.5,,1,fedavg,0.1,4,2670,40,8,False,False
38,0.914047619047619,0.10197138265194436,0.6929579304560178,0.19477261658473122,466.4,,1,fedavg,0.1,4,2670,40,8,False,False
39,0.9147619047619048,0.10494236681815983,0.6815754556859496,0.18457502317817637,465.9,,1,fedavg,0.1,4,2670,40,8,False,False
