round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9349404761904763,0.08817972433698887,0.8046880110128843,0.3077801100181213,3399.0,0.0896,1,fedmd,100.0,4,2670,40,8,False,False
1,0.9489880952380952,0.17959705793124142,0.8440886704103496,0.35710444708534006,32669.4,0.1792,1,fedmd,100.0,4,2670,40,8,False,False
2,0.9516666666666667,0.2273391596982858,0.8636390653579926,0.4112249434606979,1187.8,0.2688,1,fedmd,100.0,4,2670,40,8,False,False
3,0.9460119047619047,0.22547532567984355,0.832842767291424,0.3882482019581604,1050.8,0.3584,1,fedmd,100.0,4,2670,40,8,False,False
4,0.9475595238095238,0.23281636830863123,0.8401856363996705,0.3771064411053578,1054.5,0.448,1,fedmd,100.0,4,2670,40,8,False,False
5,0.9448214285714285,0.25891564733203976,0.8440523570614795,0.38461585819025157,1056.0,0.5376,1,fedmd,100.0,4,2670,40,8,False,False
6,0.9467857142857143,0.28075078272682374,0.8434272267906509,0.3863814307071393,1058.1,0.6272,1,fedmd,100.0,4,2670,40,8,False,False
7,0.9417261904761904,0.2532514339434276,0.807274784894995,0.36265470724673526,1057.7,0.7168,1,fedmd,100.0,4,2670,40,8,False,False
8,0.9352380952380952,0.2511054736671659,0.8072116762371566,0.34780762940998894,1057.1,0.8064,1,fedmd,100.0,4,2670,40,8,False,False
9,0.9402380952380953,0.2693328494078343,0.8232425346781742,0.3558704553919361,1057.5,0.896,1,fedmd,100.0,4,2670,40,8,False,False
10,0.9292261904761905,0.2246248125557399,0.788584673804708,0.32343620981786414,1057.8,0.9856,1,fedmd,100.0,4,2670,40,8,False,False
11,0.9295238095238095,0.2347197716125225,0.7917666255264632,0.3163855612050244,1057.2,1.0752,1,fedmd,100.0,4,2670,40,8,False,False
12,0.9232738095238094,0.21820635158935978,0.7758156733593865,0.29370838794331783,1057.1,1.1648,1,fedmd,100.0,4,2670,40,8,False,False
13,0.925,0.2380206476600836,0.7686377800613335,0.3013549032666094,1056.9,1.2544,1,fedmd,100.0,4,2670,40,8,False,False
14,0.9249404761904763,0.24840667305993835,0.7695914475178046,0.29993678006766905,1056.8,1.344,1,fedmd,100.0,4,2670,40,8,False,False
15,0.9227380952380952,0.2419714109903302,0.7835558856060212,0.3034347771519636,1058.4,1.4336,1,fedmd,100.0,4,2670,40,8,False,False
16,0.92625,0.25080784303844517,0.7976897798306475,0.3117638054865791,1059.9,1.5232,1,fedmd,100.0,4,2670,40,8,False,False
17,0.9246428571428571,0.23087258142383055,0.7802465722911277,0.2967852241286779,1060.9,1.6128,1,fedmd,100.0,4,2670,40,8,False,False
18,0.927142857142857,0.23014599886254036,0.7620126336193906,0.2856481108481533,1060.0,1.7024,1,fedmd,100.0,4,2670,40,8,False,False
19,0.9242857142857143,0.22845383882594772,0.7854525384380119,0.2992701006363765,1060.0,1.792,1,fedmd,100.0,4,2670,40,8,False,False
20,0.9227380952380952,0.20631716212429263,0.7681168132910026,0.27377805955136764,1059.6,1.8816,1,fedmd,100.0,4,2670,40,8,False,False
21,0.9210714285714285,0.24689593918392536,0.7507034573027189,0.2858821713274573,1060.2,1.9712,1,fedmd,100.0,4,2670,40,8,False,False
22,0.9255357142857144,0.23866507437188506,0.7660748201571301,0.2879213341334861,1059.7,2.0608,1,fedmd,100.0,4,2670,40,8,False,False
23,0.9236904761904763,0.20803582538231416,0.7605294233816543,0.2776767093395676,1059.5,2.1504,1,fedmd,100.0,4,2670,40,8,False,False
24,0.9201190476190477,0.16868787791825857,0.7431987503565829,0.23740620055830639,1060.0,2.24,1,fedmd,100.0,4,2670,40,8,False,False
25,0.9178571428571429,0.18394271594596442,0.7303482884757313,0.23404761115267056,1060.0,2.3296,1,fedmd,100.0,4,2670,40,8,False,False
26,0.9135119047619047,0.18944006004313915,0.7491024669699299,0.23061867372572412,1060.5,2.4192,1,fedmd,100.0,4,2670,40,8,False,False
27,0.9148809523809524,0.17767536553086222,0.7347612115703192,0.2329014600527823,1060.7,2.5088,1,fedmd,100.0,4,2670,40,8,False,False
28,0.914702380952381,0.17516125996880236,0.7232253266893401,0.23408470394605554,1059.3,2.5984,1,fedmd,100.0,4,2670,40,8,False,False
29,0.9116666666666666,0.17757376665717506,0.7191855606310372,0.22985906416713778,1059.7,2.688,1,fedmd,100.0,4,2670,40,8,False,False
30,0.9101785714285714,0.16001441254384935,0.720661936609835,0.21668850456185856,1059.5,2.7776,1,fedmd,100.0,4,2670,40,8,False,False
31,0.9098214285714286,0.17195168109867542,0.7256007421428468,0.2153101751423893,1060.1,2.8672,1,fedmd,100.0,4,2670,40,8,False,False
32,0.9131547619047619,0.16561256846827227,0.719003205567153,0.22197630078034963,1060.6,2.9568,1,fedmd,100.0,4,2670,40,8,False,False
33,0.9085119047619048,0.17412216046085954,0.6849015386555297,0.23598731188132321,1060.5,3.0464,1,fedmd,100.0,4,2670,40,8,False,False
34,0.9121428571428571,0.16319845293340343,0.7148357949238281,0.22126149685337868,1060.7,3.136,1,fedmd,100.0,4,2670,40,8,False,False
35,0.9125000000000001,0.18122653547570955,0.7234491848562591,0.23049022154998433,1060.6,3.2256,1,fedmd,100.0,4,2670,40,8,False,False
36,0.9157142857142857,0.17025178049835468,0.7361160712507582,0.2367418408334188,1059.7,3.3152,1,fedmd,100.0,4,2670,40,8,False,False
37,0.9142857142857143,0.16921110507673995,0.7270397618029507,0.2322273508303385,1060.2,3.4048,1,fedmd,100.0,4,2670,40,8,False,False
38,0.9136309523809524,0.17981454812454817,0.7228358624562112,0.2192911704580648,1061.9,3.4944,1,fedmd,100.0,4,2670,40,8,False,False
39,0.9148214285714286,0.16628358825516656,0.7285328436650115,0.23231472402045336,1061.3,3.584,1,fedmd,100.0,4,2670,40,8,False,False
