round,hamming_acc,macro_f1,auroc,auprc,seconds,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.934047619047619,0.17871144946591014,0.8865402420841357,0.46157043970561445,877.5,1,fedprox,0.1,4,2670,40,8,False,False
1,0.9430952380952381,0.2649235963286337,0.8839989255331717,0.4320428712691446,881.5,1,fedprox,0.1,4,2670,40,8,False,False
2,0.9288095238095239,0.1789293732628025,0.8618872049320109,0.3756491134284543,884.7,1,fedprox,0.1,4,2670,40,8,False,False
3,0.9147619047619048,0.12555455807226415,0.7981522719289003,0.337922279750095,847.3,1,fedprox,0.1,4,2670,40,8,False,False
4,0.9197619047619048,0.17343097154417908,0.7842417786727831,0.33990591970519335,611.7,1,fedprox,0.1,4,2670,40,8,False,False
5,0.8992857142857142,0.1709894621988687,0.7505207418238591,0.24304137476862528,600.7,1,fedprox,0.1,4,2670,40,8,False,False
6,0.9133333333333333,0.1646119747125939,0.7675883512643519,0.28294555576266645,616.8,1,fedprox,0.1,4,2670,40,8,False,False
7,0.9021428571428571,0.2090499952949409,0.695531465797775,0.2889813302219019,581.4,1,fedprox,0.1,4,2670,40,8,False,False
8,0.9128571428571428,0.15448666198995295,0.7318609284392965,0.25231777919973164,586.2,1,fedprox,0.1,4,2670,40,8,False,False
9,0.914047619047619,0.17945420696596942,0.7532704176079699,0.25933759053184235,585.4,1,fedprox,0.1,4,2670,40,8,False,False
10,0.905,0.18617346755808292,0.7448560986740171,0.2508130074256931,586.1,1,fedprox,0.1,4,2670,40,8,False,False
11,0.9121428571428571,0.17486670240533575,0.7756118994851449,0.26690369235169936,584.4,1,fedprox,0.1,4,2670,40,8,False,False
12,0.9047619047619048,0.2062369963495453,0.7529147290852527,0.26723877653351735,585.4,1,fedprox,0.1,4,2670,40,8,False,False
13,0.9130952380952381,0.17059964641410802,0.7627629543657585,0.28569474630330405,589.8,1,fedprox,0.1,4,2670,40,8,False,False
14,0.9095238095238095,0.16375081138718667,0.7528103624943019,0.2537617869855416,589.8,1,fedprox,0.1,4,2670,40,8,False,False
15,0.8988095238095238,0.16241331014719285,0.7194440103097862,0.24067568258749644,585.9,1,fedprox,0.1,4,2670,40,8,False,False
16,0.9078571428571428,0.1718421624150757,0.7289910343489445,0.2428982817470717,584.5,1,fedprox,0.1,4,2670,40,8,False,False
17,0.915,0.17485286746162004,0.758459408564348,0.2616335245726195,584.1,1,fedprox,0.1,4,2670,40,8,False,False
18,0.9092857142857143,0.18483103903036252,0.7378370005247442,0.24255153419310077,588.0,1,fedprox,0.1,4,2670,40,8,False,False
19,0.9078571428571428,0.17904707329151617,0.7740360141942154,0.2566210182827463,583.9,1,fedprox,0.1,4,2670,40,8,False,False
20,0.9119047619047619,0.16924038907844574,0.7707779741024672,0.26731103355361985,583.2,1,fedprox,0.1,4,2670,40,8,False,False
21,0.914047619047619,0.18841132234859925,0.748045048617747,0.25146548548569786,583.9,1,fedprox,0.1,4,2670,40,8,False,False
22,0.9138095238095238,0.2153716151290925,0.7485654584292761,0.26647024064038394,585.6,1,fedprox,0.1,4,2670,40,8,False,False
23,0.9097619047619048,0.23308927880754665,0.7438048083743397,0.26441126957806477,583.9,1,fedprox,0.1,4,2670,40,8,False,False
24,0.9121428571428571,0.18544713148026085,0.7547911860947193,0.25537248250716965,586.3,1,fedprox,0.1,4,2670,40,8,False,False
25,0.915952380952381,0.20186630554255838,0.7652529288093487,0.2759378674103979,586.1,1,fedprox,0.1,4,2670,40,8,False,False
26,0.9119047619047619,0.18904820808270792,0.7445603013654882,0.26769777361794156,584.8,1,fedprox,0.1,4,2670,40,8,False,False
27,0.9135714285714286,0.1526681378009973,0.7689566222003889,0.28223166471757793,582.3,1,fedprox,0.1,4,2670,40,8,False,False
28,0.91,0.15461928725154797,0.7664072425716439,0.24408276726064718,585.0,1,fedprox,0.1,4,2670,40,8,False,False
29,0.910952380952381,0.16739829572038695,0.7704381024631465,0.2485038995630268,584.7,1,fedprox,0.1,4,2670,40,8,False,False
30,0.9135714285714286,0.16852706973255716,0.7786449429128373,0.26276860440286165,584.6,1,fedprox,0.1,4,2670,40,8,False,False
31,0.9085714285714286,0.1793527683584795,0.7530839615268783,0.25927552131159,584.7,1,fedprox,0.1,4,2670,40,8,False,False
32,0.91,0.15763018912011123,0.7413769411947274,0.2532008109384063,584.9,1,fedprox,0.1,4,2670,40,8,False,False
33,0.9061904761904762,0.1938070859900424,0.7316798262739215,0.2591321794694178,584.7,1,fedprox,0.1,4,2670,40,8,False,False
34,0.9038095238095238,0.16164844106816714,0.7401738967695096,0.2283958562642752,583.7,1,fedprox,0.1,4,2670,40,8,False,False
35,0.9085714285714286,0.14593188729373552,0.749913767320189,0.23820105252085572,584.9,1,fedprox,0.1,4,2670,40,8,False,False
36,0.9078571428571428,0.15492365155186266,0.7835506472243916,0.25845812484984093,589.3,1,fedprox,0.1,4,2670,40,8,False,False
37,0.9095238095238095,0.18220701468940298,0.7403275516758873,0.23602107824445245,582.0,1,fedprox,0.1,4,2670,40,8,False,False
38,0.9152380952380952,0.17571216627678718,0.7934392250449682,0.27835849241963495,584.6,1,fedprox,0.1,4,2670,40,8,False,False
39,0.9107142857142857,0.20908928112873798,0.7847005307729774,0.2898069628603395,585.3,1,fedprox,0.1,4,2670,40,8,False,False
