round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9097619047619048,0.032467532467532464,0.7150666181897067,0.22293206607623836,542.6,,1,fedprox,0.1,4,2670,40,8,False,False
1,0.9169047619047619,0.047773654916512066,0.7574859488579442,0.233778562029205,547.0,,1,fedprox,0.1,4,2670,40,8,False,False
2,0.915,0.04790940766550523,0.7736109020167357,0.24826818342757165,547.1,,1,fedprox,0.1,4,2670,40,8,False,False
3,0.9188095238095239,0.08551613774418494,0.7726950886958186,0.24374042731381024,545.4,,1,fedprox,0.1,4,2670,40,8,False,False
4,0.9145238095238095,0.10319160925599404,0.7657882327551686,0.23423289198313282,548.5,,1,fedprox,0.1,4,2670,40,8,False,False
5,0.9188095238095239,0.09167316387143974,0.7738165279183447,0.21848280806741643,546.4,,1,fedprox,0.1,4,2670,40,8,False,False
6,0.9164285714285715,0.11922891429140499,0.7725672904137318,0.2219386192332329,548.4,,1,fedprox,0.1,4,2670,40,8,False,False
7,0.9164285714285715,0.12187563314371633,0.7754333230287356,0.22489688505457892,547.6,,1,fedprox,0.1,4,2670,40,8,False,False
8,0.9178571428571428,0.1246598161771281,0.7511608786325129,0.2215313414023015,548.2,,1,fedprox,0.1,4,2670,40,8,False,False
9,0.9128571428571428,0.13650791845646962,0.7666540572348703,0.22431756801988398,548.2,,1,fedprox,0.1,4,2670,40,8,False,False
10,0.9178571428571428,0.11675063825311476,0.7860021320709005,0.2499836147774867,586.7,,1,fedprox,0.1,4,2670,40,8,False,False
11,0.9173809523809524,0.12453790726631779,0.7647757219647909,0.22988522193233238,815.9,,1,fedprox,0.1,4,2670,40,8,False,False
12,0.9166666666666666,0.14758154543868832,0.7633396333542246,0.2514509953103491,778.2,,1,fedprox,0.1,4,2670,40,8,False,False
13,0.9188095238095239,0.12358356059559432,0.7924064903497651,0.2364049520073722,767.1,,1,fedprox,0.1,4,2670,40,8,False,False
14,0.8640476190476191,0.12917229128229982,0.7529189840035525,0.23019566252029217,769.5,,1,fedprox,0.1,4,2670,40,8,False,False
15,0.9145238095238095,0.08443839866839657,0.76650167384161,0.20565283518283103,629.3,,1,fedprox,0.1,4,2670,40,8,False,False
16,0.9164285714285715,0.11523842588005166,0.7632354926783329,0.21697875411260062,5906.4,,1,fedprox,0.1,4,2670,40,8,False,False
17,0.9121428571428571,0.09528117913832201,0.7598190553515859,0.2117187620049473,851.6,,1,fedprox,0.1,4,2670,40,8,False,False
18,0.9128571428571428,0.13379330835798658,0.7206026606068345,0.20375694953880158,789.0,,1,fedprox,0.1,4,2670,40,8,False,False
19,0.9097619047619048,0.12082193750983415,0.7238156563051065,0.2066056961728871,781.2,,1,fedprox,0.1,4,2670,40,8,False,False
20,0.9128571428571428,0.10068201257111031,0.7593003966567741,0.22290460474408363,801.0,,1,fedprox,0.1,4,2670,40,8,False,False
21,0.9119047619047619,0.12581185409565898,0.7208192450490521,0.20991873632582486,771.3,,1,fedprox,0.1,4,2670,40,8,False,False
22,0.9128571428571428,0.12540839712001928,0.7596552021288993,0.22449913620828132,786.7,,1,fedprox,0.1,4,2670,40,8,False,False
23,0.9123809523809524,0.08841143526447372,0.774903335229569,0.23100442632946488,807.9,,1,fedprox,0.1,4,2670,40,8,False,False
24,0.9016666666666666,0.07881725867234005,0.739050507585061,0.1928480477880093,780.7,,1,fedprox,0.1,4,2670,40,8,False,False
25,0.910952380952381,0.09880648200242563,0.7038710544122277,0.17571768152794193,774.9,,1,fedprox,0.1,4,2670,40,8,False,False
26,0.9114285714285715,0.07698993755641877,0.7487761429857482,0.1927586394785085,791.3,,1,fedprox,0.1,4,2670,40,8,False,False
27,0.9133333333333333,0.08359488688349079,0.7304868947602576,0.24616538050086015,754.0,,1,fedprox,0.1,4,2670,40,8,False,False
28,0.91,0.10832902001380262,0.7507297801816705,0.23644627872468651,749.0,,1,fedprox,0.1,4,2670,40,8,False,False
29,0.9147619047619048,0.09511966182779055,0.7246670997475316,0.21925671581909761,775.2,,1,fedprox,0.1,4,2670,40,8,False,False
30,0.9121428571428571,0.10607827431498887,0.7410166057144422,0.2218672718317886,778.7,,1,fedprox,0.1,4,2670,40,8,False,False
31,0.9121428571428571,0.09024530087592374,0.7537140526642077,0.20203806200524013,757.0,,1,fedprox,0.1,4,2670,40,8,False,False
32,0.9114285714285715,0.09058773523598226,0.7431825308485013,0.23016907757936375,13437.4,,1,fedprox,0.1,4,2670,40,8,False,False
33,0.9119047619047619,0.10691111421094258,0.7321009326161366,0.19041464577530082,554.0,,1,fedprox,0.1,4,2670,40,8,False,False
34,0.9047619047619048,0.09775916230263001,0.7536082011126322,0.20415052994573143,552.1,,1,fedprox,0.1,4,2670,40,8,False,False
35,0.9102380952380953,0.1098485717747224,0.7312965016629492,0.19314837461633522,552.1,,1,fedprox,0.1,4,2670,40,8,False,False
36,0.9088095238095238,0.09969621075395432,0.720220294504616,0.2091104332735185,549.0,,1,fedprox,0.1,4,2670,40,8,False,False
37,0.9128571428571428,0.11551646974579308,0.7282121768223758,0.20671716582618796,579.8,,1,fedprox,0.1,4,2670,40,8,False,False
38,0.9119047619047619,0.12688307871969348,0.7046160023906666,0.18613362194253277,579.1,,1,fedprox,0.1,4,2670,40,8,False,False
39,0.9088095238095238,0.08124417791321059,0.7184129491626775,0.18762160792586094,581.7,,1,fedprox,0.1,4,2670,40,8,False,False
