round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9385119047619047,0.13832174423468205,0.8216889672325226,0.3028370700593113,512.4,0.086464,2,fedproto,100.0,4,2670,40,8,False,False
1,0.9416666666666667,0.156045550811841,0.8275480653649231,0.3367966879096765,512.6,0.172928,2,fedproto,100.0,4,2670,40,8,False,False
2,0.9445833333333333,0.19302705805364428,0.8252964699011116,0.34548423132311223,513.5,0.259392,2,fedproto,100.0,4,2670,40,8,False,False
3,0.9502380952380952,0.21963240813677626,0.8574193620081526,0.39534462010098276,514.5,0.345856,2,fedproto,100.0,4,2670,40,8,False,False
4,0.9484523809523809,0.24177143959527828,0.8570714824150137,0.3992825435779892,514.5,0.43232,2,fedproto,100.0,4,2670,40,8,False,False
5,0.9425000000000001,0.21304395986309096,0.8440536926546517,0.3670377902468,513.9,0.518784,2,fedproto,100.0,4,2670,40,8,False,False
6,0.9388690476190475,0.20435257432078857,0.8346592117335611,0.38944027219668154,514.2,0.605248,2,fedproto,100.0,4,2670,40,8,False,False
7,0.9356547619047618,0.1894688389127282,0.8240492459679911,0.3837932908773206,514.4,0.691712,2,fedproto,100.0,4,2670,40,8,False,False
8,0.9357738095238095,0.1980639613841207,0.8156161313934415,0.35125522938673714,514.8,0.778176,2,fedproto,100.0,4,2670,40,8,False,False
9,0.919702380952381,0.14782150679764547,0.7656475421560411,0.30790270896062455,515.8,0.86464,2,fedproto,100.0,4,2670,40,8,False,False
10,0.9244642857142857,0.1453570650670098,0.7528285220034054,0.3056798575350481,517.7,0.951104,2,fedproto,100.0,4,2670,40,8,False,False
11,0.9216666666666666,0.13231166340747785,0.7504905440702617,0.29738463883911426,516.5,1.037568,2,fedproto,100.0,4,2670,40,8,False,False
12,0.9210119047619048,0.1241677359085691,0.7393926420717007,0.264629080716391,516.8,1.124032,2,fedproto,100.0,4,2670,40,8,False,False
13,0.9214880952380953,0.11981505108190675,0.7453807708378467,0.277378005461951,516.7,1.210496,2,fedproto,100.0,4,2670,40,8,False,False
14,0.9221428571428572,0.12736026546808946,0.7321821934384948,0.2680933651267501,516.5,1.29696,2,fedproto,100.0,4,2670,40,8,False,False
15,0.9196428571428571,0.11532988637018278,0.7473549545677415,0.2713698450414451,518.9,1.383424,2,fedproto,100.0,4,2670,40,8,False,False
16,0.91875,0.13718523061423266,0.7560609156814148,0.2628464402321584,516.6,1.469888,2,fedproto,100.0,4,2670,40,8,False,False
17,0.9147619047619047,0.09909479282062691,0.7387417584598408,0.24801738845006913,519.3,1.556352,2,fedproto,100.0,4,2670,40,8,False,False
18,0.9117857142857142,0.11593755881974904,0.7129651901366234,0.23193309843930884,513.0,1.642816,2,fedproto,100.0,4,2670,40,8,False,False
19,0.909702380952381,0.11051767663838633,0.717137540985459,0.24066606507673108,507.3,1.72928,2,fedproto,100.0,4,2670,40,8,False,False
20,0.9111309523809524,0.11266311097610301,0.7127520124199428,0.24152891230642612,502.0,1.815744,2,fedproto,100.0,4,2670,40,8,False,False
21,0.9141666666666667,0.11255364148283337,0.7173567158205004,0.2344245628795624,501.8,1.902208,2,fedproto,100.0,4,2670,40,8,False,False
22,0.9119642857142858,0.10057146013195464,0.6976389068572781,0.22700594756223016,501.5,1.988672,2,fedproto,100.0,4,2670,40,8,False,False
23,0.913154761904762,0.1035996267645274,0.6975034184250368,0.22114397753370735,501.6,2.075136,2,fedproto,100.0,4,2670,40,8,False,False
24,0.9120238095238096,0.09347975070449266,0.7158389703858054,0.21593217957396882,501.7,2.1616,2,fedproto,100.0,4,2670,40,8,False,False
25,0.9096428571428572,0.09390766761277942,0.6891957267910254,0.21823093302600988,501.0,2.248064,2,fedproto,100.0,4,2670,40,8,False,False
26,0.9131547619047617,0.09447347660242726,0.7187855771083478,0.24522015885924187,501.4,2.334528,2,fedproto,100.0,4,2670,40,8,False,False
27,0.9125,0.10749413207625777,0.6991423757548435,0.22272158547172285,503.4,2.420992,2,fedproto,100.0,4,2670,40,8,False,False
28,0.9111309523809524,0.10831136558154844,0.7128099689116487,0.241584359133681,509.9,2.507456,2,fedproto,100.0,4,2670,40,8,False,False
29,0.9104761904761905,0.09258194384591058,0.6928808168439158,0.23209901200317296,496.3,2.59392,2,fedproto,100.0,4,2670,40,8,False,False
30,0.9114285714285714,0.10833997101280839,0.7098393465950674,0.24860723657404998,496.1,2.680384,2,fedproto,100.0,4,2670,40,8,False,False
31,0.9117857142857142,0.10282270420615644,0.689624703592351,0.23153742411216294,494.4,2.766848,2,fedproto,100.0,4,2670,40,8,False,False
32,0.9130357142857143,0.10800267364057292,0.6983511178054105,0.21368159842327325,495.8,2.853312,2,fedproto,100.0,4,2670,40,8,False,False
33,0.9128571428571428,0.08531896632808886,0.6406147019723598,0.2106768455878128,495.1,2.939776,2,fedproto,100.0,4,2670,40,8,False,False
34,0.9082738095238094,0.0899260603815598,0.6737392843009438,0.1912331514112653,494.7,3.02624,2,fedproto,100.0,4,2670,40,8,False,False
35,0.9100595238095238,0.10591388796201548,0.6380703502496028,0.1812220268729966,499.4,3.112704,2,fedproto,100.0,4,2670,40,8,False,False
36,0.9102380952380953,0.11445037592161869,0.6744093970850131,0.19991451471378183,499.1,3.199168,2,fedproto,100.0,4,2670,40,8,False,False
37,0.9130952380952382,0.1101398339043512,0.6939529318205164,0.19735536544950816,503.0,3.285632,2,fedproto,100.0,4,2670,40,8,False,False
38,0.9108333333333334,0.10268487661777148,0.6984026948187261,0.20778140975869458,509.9,3.372096,2,fedproto,100.0,4,2670,40,8,False,False
39,0.9070833333333334,0.10650272053192307,0.6937418556666642,0.21093420603468557,494.4,3.45856,2,fedproto,100.0,4,2670,40,8,False,False
