round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9153571428571429,0.05195297818469206,0.5586499164954043,0.16642614625311714,1084.5,4277.69216,2,heterofl,100.0,4,2670,40,8,True,True
1,0.9243452380952382,0.05582366784361883,0.6548718702969691,0.20095007146820232,938.8,8555.383472,2,heterofl,100.0,4,2670,40,8,True,True
2,0.9248809523809524,0.05988656597513859,0.6899697097236681,0.22617249111912674,561.4,12833.074784,2,heterofl,100.0,4,2670,40,8,True,True
3,0.9264285714285714,0.06550858893112763,0.7259350838367324,0.24106098939114956,566.2,17110.766096,2,heterofl,100.0,4,2670,40,8,True,True
4,0.9297619047619047,0.07985463175341546,0.7596984185770168,0.258701188886703,566.8,21388.457408,2,heterofl,100.0,4,2670,40,8,True,True
5,0.929702380952381,0.08050935422355547,0.7682249564269314,0.2613478316178401,572.9,25666.14872,2,heterofl,100.0,4,2670,40,8,True,True
6,0.9307142857142856,0.08931766516532127,0.7833097868444732,0.2697181515949219,563.6,29943.840032,2,heterofl,100.0,4,2670,40,8,True,True
7,0.9301785714285715,0.08847909373504961,0.7968254855795083,0.27396750256865265,564.7,34221.531344,2,heterofl,100.0,4,2670,40,8,True,True
8,0.9298809523809524,0.0876043395035288,0.8002657009906351,0.28807458711259876,564.6,38499.222656,2,heterofl,100.0,4,2670,40,8,True,True
9,0.9300595238095238,0.09139780151296847,0.8129063822778574,0.2866422309811545,563.2,42776.913968,2,heterofl,100.0,4,2670,40,8,True,True
10,0.9311904761904762,0.09508484981515923,0.819455917583986,0.29881571388080347,564.4,47054.60528,2,heterofl,100.0,4,2670,40,8,True,True
11,0.9320238095238096,0.10252235688359096,0.8281828178293913,0.29730836966924795,561.1,51332.296592,2,heterofl,100.0,4,2670,40,8,True,True
12,0.9313690476190477,0.0972217089964601,0.8323468817282427,0.3092287223905832,565.7,55609.987904,2,heterofl,100.0,4,2670,40,8,True,True
13,0.9315476190476191,0.11194403228318547,0.8374880380086491,0.31430481149905576,568.7,59887.679216,2,heterofl,100.0,4,2670,40,8,True,True
14,0.9321428571428572,0.11537718787359956,0.8421711330099757,0.32118937018654403,564.6,64165.370528,2,heterofl,100.0,4,2670,40,8,True,True
15,0.932202380952381,0.11116014952991857,0.8465901766480362,0.32712925820920563,562.1,68443.06184,2,heterofl,100.0,4,2670,40,8,True,True
16,0.9320238095238096,0.1134998815964364,0.8523152537209308,0.33920092401127555,561.5,72720.753152,2,heterofl,100.0,4,2670,40,8,True,True
17,0.9328571428571428,0.12318211407604698,0.8547196988193191,0.34373804341510406,559.4,76998.444464,2,heterofl,100.0,4,2670,40,8,True,True
18,0.9335714285714285,0.129293430050211,0.8616191224323771,0.3539930926132912,559.0,81276.135776,2,heterofl,100.0,4,2670,40,8,True,True
19,0.9355952380952381,0.14593993335698896,0.8665983835430962,0.36130782626438446,565.2,85553.827088,2,heterofl,100.0,4,2670,40,8,True,True
20,0.9360714285714287,0.14978140554142647,0.8682371475645732,0.3632341055836584,562.8,89831.5184,2,heterofl,100.0,4,2670,40,8,True,True
21,0.9344047619047618,0.14598938060745392,0.8720444734984216,0.3683783366271649,566.5,94109.209712,2,heterofl,100.0,4,2670,40,8,True,True
22,0.9333928571428571,0.14376947162607936,0.8717023466429309,0.37164276886183406,565.2,98386.901024,2,heterofl,100.0,4,2670,40,8,True,True
23,0.9358928571428571,0.15199845991469244,0.8756657217932184,0.377225572180468,562.6,102664.592336,2,heterofl,100.0,4,2670,40,8,True,True
24,0.9364285714285714,0.16544935909487535,0.8776987153805873,0.38521174386037005,1072.7,106942.283648,2,heterofl,100.0,4,2670,40,8,True,True
25,0.935,0.15635665104441493,0.8814938283148868,0.38773364498041296,1053.6,111219.97496,2,heterofl,100.0,4,2670,40,8,True,True
26,0.9369047619047619,0.16945799562473782,0.8845453056199357,0.38893869158234734,1067.4,115497.666272,2,heterofl,100.0,4,2670,40,8,True,True
27,0.9358928571428571,0.16836756387765744,0.8864956067972614,0.39298658452495383,1080.7,119775.357584,2,heterofl,100.0,4,2670,40,8,True,True
28,0.9370833333333334,0.16987434543910646,0.888847874500587,0.3979511891740551,1039.7,124053.048896,2,heterofl,100.0,4,2670,40,8,True,True
29,0.9373214285714285,0.1696936386359414,0.8894946456710795,0.4160038460317093,1033.2,128330.740208,2,heterofl,100.0,4,2670,40,8,True,True
30,0.9363690476190476,0.17291905203536465,0.8918215692025951,0.4116862968758075,1043.2,132608.43152,2,heterofl,100.0,4,2670,40,8,True,True
31,0.9382142857142858,0.17930326593690962,0.89515037087768,0.4190157275760882,1058.6,136886.122832,2,heterofl,100.0,4,2670,40,8,True,True
32,0.9382738095238095,0.1803262708445564,0.8954065496037806,0.42221912641140713,1049.6,141163.814144,2,heterofl,100.0,4,2670,40,8,True,True
33,0.9370833333333333,0.18576352863067253,0.897101041131589,0.42513881055341474,1053.0,145441.505456,2,heterofl,100.0,4,2670,40,8,True,True
34,0.9373809523809524,0.1795946907653752,0.8996166819557156,0.4282413065180676,1035.6,149719.196768,2,heterofl,100.0,4,2670,40,8,True,True
35,0.9389285714285714,0.1907824445453423,0.898900016838733,0.43743927070903516,1040.9,153996.88808,2,heterofl,100.0,4,2670,40,8,True,True
36,0.93875,0.1894962984708588,0.8998537907614002,0.44527705408566887,1043.5,158274.579392,2,heterofl,100.0,4,2670,40,8,True,True
37,0.9390476190476191,0.19542948263502102,0.9019505248731159,0.4468374602320133,1035.7,162552.270704,2,heterofl,100.0,4,2670,40,8,True,True
38,0.9391071428571429,0.2027360216415096,0.9026079816617916,0.4565368817522807,1046.6,166829.962016,2,heterofl,100.0,4,2670,40,8,True,True
39,0.9407738095238095,0.21868997191398099,0.9054372807639353,0.4457294420641027,1044.5,171107.653328,2,heterofl,100.0,4,2670,40,8,True,True
