round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9399635452267031,0.11598259663982666,0.816539441121534,0.30620793435040655,394.1,4280.592128,3,fedavg,3:1,100.0,4,2670,40,8
1,0.9593301435406698,0.31201000062881334,0.8706921825403212,0.4234899238179831,397.1,8561.184256,3,fedavg,3:1,100.0,4,2670,40,8
2,0.9711779448621554,0.404572643858568,0.9163261486415043,0.49913861889818467,403.7,12841.776384,3,fedavg,3:1,100.0,4,2670,40,8
3,0.9772157666894509,0.44805963303492685,0.9348947439784366,0.5686537801440364,397.4,17122.368512,3,fedavg,3:1,100.0,4,2670,40,8
4,0.9791524265208476,0.5040738103691943,0.9488957728447741,0.6026872176954139,399.7,21402.96064,3,fedavg,3:1,100.0,4,2670,40,8
5,0.9806334016860333,0.5449860127891546,0.9505887199883639,0.6295330380769928,397.9,25683.552768,3,fedavg,3:1,100.0,4,2670,40,8
6,0.9830257461836409,0.591117868706697,0.9551277726431345,0.6454496168134163,398.3,29964.144896,3,fedavg,3:1,100.0,4,2670,40,8
7,0.9827979038505354,0.576270277135441,0.9659664174057915,0.6556247683104953,399.7,34244.737024,3,fedavg,3:1,100.0,4,2670,40,8
8,0.9831396673501936,0.6084637987420107,0.9654890273877607,0.6468991388318972,399.8,38525.329152000006,3,fedavg,3:1,100.0,4,2670,40,8
9,0.9829118250170882,0.609691926524459,0.9692851385171075,0.6715895715378019,399.6,42805.92128,3,fedavg,3:1,100.0,4,2670,40,8
10,0.9824561403508771,0.6081089366252896,0.9648201951107109,0.6451737196503934,397.8,47086.513408,3,fedavg,3:1,100.0,4,2670,40,8
11,0.981658692185008,0.6150791361706115,0.9661830427704217,0.6840152174983917,399.6,51367.105536,3,fedavg,3:1,100.0,4,2670,40,8
12,0.9813169286853497,0.6053151776798117,0.9604830756396929,0.6585174323579766,399.0,55647.69766400001,3,fedavg,3:1,100.0,4,2670,40,8
13,0.9830257461836409,0.6293439337078083,0.9659400142404085,0.6711101476829449,401.0,59928.289792,3,fedavg,3:1,100.0,4,2670,40,8
14,0.9821143768512189,0.6033978207471777,0.9652869245135317,0.6707421999199322,402.0,64208.88192,3,fedavg,3:1,100.0,4,2670,40,8
15,0.9829118250170882,0.609600377879766,0.9645412852069628,0.6497981457116404,395.6,68489.474048,3,fedavg,3:1,100.0,4,2670,40,8
16,0.9833675096832991,0.6402924772330895,0.9578852756193965,0.6592215550962097,395.2,72770.06617600001,3,fedavg,3:1,100.0,4,2670,40,8
