round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9391660970608339,0.11788835848691555,0.8116378807681414,0.30351165680382364,686.4,4280.592128,3,loot,uni,100.0,4,2670,40,8
1,0.9548872180451128,0.2805311313714675,0.8538922371444047,0.3805581379960669,692.2,8561.184256,3,loot,uni,100.0,4,2670,40,8
2,0.962861699703805,0.38004273797509364,0.8678995763986127,0.43890343068690746,690.2,12841.776384,3,loot,uni,100.0,4,2670,40,8
3,0.9665071770334929,0.40985166191500116,0.8733159791584234,0.46807094510926717,691.3,17122.368512,3,loot,uni,100.0,4,2670,40,8
4,0.9667350193665983,0.4240350972578159,0.8943955969431275,0.47401451340686585,692.6,21402.96064,3,loot,uni,100.0,4,2670,40,8
5,0.9658236500341764,0.45426292500838594,0.8841343662843162,0.4699020968768182,691.0,25683.552768,3,loot,uni,100.0,4,2670,40,8
6,0.9679881521986785,0.5108757098258688,0.9166082187907627,0.5127963129125126,693.5,29964.144896,3,loot,uni,100.0,4,2670,40,8
7,0.9669628616997038,0.5284096773668852,0.9050591868287345,0.5324686983222612,691.8,34244.737024,3,loot,uni,100.0,4,2670,40,8
8,0.9706083390293917,0.5329528503789243,0.9140384352365495,0.5303593640456453,692.1,38525.329152000006,3,loot,uni,100.0,4,2670,40,8
9,0.9670767828662565,0.5491651450512536,0.9065805789330817,0.5293858970744123,693.6,42805.92128,3,loot,uni,100.0,4,2670,40,8
10,0.968215994531784,0.5537906616231284,0.8961396893507344,0.5289860814169506,695.7,47086.513408,3,loot,uni,100.0,4,2670,40,8
11,0.9709501025290499,0.541348832428782,0.9078023462831074,0.5353588317531388,690.4,51367.105536,3,loot,uni,100.0,4,2670,40,8
12,0.9712918660287081,0.5694194662489859,0.9148543963660709,0.5395943796559386,689.7,55647.69766400001,3,loot,uni,100.0,4,2670,40,8
13,0.9706083390293917,0.5760846088064108,0.9204690827082315,0.5302038441415637,691.7,59928.289792,3,loot,uni,100.0,4,2670,40,8
14,0.970494417862839,0.5519478876576938,0.8954177533012047,0.5236846974065663,690.4,64208.88192,3,loot,uni,100.0,4,2670,40,8
15,0.9662793347003873,0.540909177135583,0.8981861792360343,0.5154946069147078,694.3,68489.474048,3,loot,uni,100.0,4,2670,40,8
16,0.9660514923672818,0.5345187581316316,0.8950751942924781,0.5111090496611335,692.8,72770.06617600001,3,loot,uni,100.0,4,2670,40,8
17,0.9659375712007291,0.5439132646790418,0.9030832029213773,0.5251222658116095,691.4,77050.65830400001,3,loot,uni,100.0,4,2670,40,8
18,0.9662793347003873,0.53689588630267,0.9082807136565473,0.5180079002270876,697.3,81331.250432,3,loot,uni,100.0,4,2670,40,8
19,0.9653679653679653,0.5476096943443591,0.9076774045772955,0.5295092390467043,694.6,85611.84256,3,loot,uni,100.0,4,2670,40,8
20,0.9614946457051721,0.5490340595137322,0.8999146065435394,0.5236733927656722,693.3,89892.43468800001,3,loot,uni,100.0,4,2670,40,8
