round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9486215538847118,0.17176739758804677,0.8368926713483834,0.35203332601679216,386.7,4280.592128,3,min,uni,100.0,4,2670,40,8
1,0.9581909318751424,0.2891281745974704,0.8592228374737682,0.42811037323334655,388.6,8561.184256,3,min,uni,100.0,4,2670,40,8
2,0.9742538163590795,0.4265771359313192,0.9097091232417984,0.5179436116484222,389.8,12841.776384,3,min,uni,100.0,4,2670,40,8
3,0.9781271360218728,0.4510660550965091,0.9347734731872271,0.5951426924561575,395.0,17122.368512,3,min,uni,100.0,4,2670,40,8
4,0.9809751651856915,0.5371423518053317,0.9484674112277227,0.6313758615054478,391.3,21402.96064,3,min,uni,100.0,4,2670,40,8
5,0.9804055593529277,0.5842123612559692,0.9482910377489263,0.6497229908258028,391.8,25683.552768,3,min,uni,100.0,4,2670,40,8
6,0.9827979038505354,0.6219302720219779,0.9597404645728054,0.6615823696124543,391.4,29964.144896,3,min,uni,100.0,4,2670,40,8
7,0.9846206425153794,0.6262238565652447,0.9603988360662902,0.6686446713037616,392.3,34244.737024,3,min,uni,100.0,4,2670,40,8
8,0.9832535885167464,0.6229442230083422,0.9591570318985518,0.6631625965765375,390.8,38525.329152000006,3,min,uni,100.0,4,2670,40,8
9,0.9859876965140123,0.648357435923605,0.966607358815314,0.6720701595438346,391.5,42805.92128,3,min,uni,100.0,4,2670,40,8
10,0.983481430849852,0.603804685240276,0.9674450886755837,0.6711066579351507,391.8,47086.513408,3,min,uni,100.0,4,2670,40,8
11,0.9831396673501936,0.629647336066809,0.9705374755737292,0.6748679314026159,391.7,51367.105536,3,min,uni,100.0,4,2670,40,8
12,0.9843928001822738,0.6562570635798053,0.9705985328143968,0.6966693956626854,394.2,55647.69766400001,3,min,uni,100.0,4,2670,40,8
13,0.9830257461836409,0.6317769662122383,0.9646393076126543,0.6721610951166371,392.3,59928.289792,3,min,uni,100.0,4,2670,40,8
14,0.9830257461836409,0.6197867461399235,0.9637821871674992,0.6786891895719459,392.5,64208.88192,3,min,uni,100.0,4,2670,40,8
15,0.9835953520164047,0.6330162695552983,0.9537009149936676,0.6810581022702192,393.1,68489.474048,3,min,uni,100.0,4,2670,40,8
16,0.9840510366826156,0.6204065896167358,0.9632398509997724,0.677149948139825,393.8,72770.06617600001,3,min,uni,100.0,4,2670,40,8
17,0.9838231943495102,0.6459535726770806,0.9682932135227225,0.7055045067132427,392.8,77050.65830400001,3,min,uni,100.0,4,2670,40,8
18,0.9840510366826156,0.6664464150312942,0.947800973936514,0.7010758888859433,392.6,81331.250432,3,min,uni,100.0,4,2670,40,8
19,0.9843928001822738,0.615603717336405,0.9600492985487382,0.6722999890951201,393.1,85611.84256,3,min,uni,100.0,4,2670,40,8
20,0.9827979038505354,0.6302893614203481,0.9643529574577495,0.6854634623517349,393.0,89892.43468800001,3,min,uni,100.0,4,2670,40,8
21,0.9826839826839827,0.6254244406630539,0.962092249276331,0.6607373359885941,393.2,94173.026816,3,min,uni,100.0,4,2670,40,8
22,0.9837092731829574,0.6382004224706097,0.9557093085759172,0.659666819693572,393.4,98453.618944,3,min,uni,100.0,4,2670,40,8
23,0.9831396673501936,0.6414880054179538,0.9552039194826901,0.6576658149363513,394.1,102734.211072,3,min,uni,100.0,4,2670,40,8
24,0.9821143768512189,0.6207931720029526,0.9447059732819767,0.6546841899384114,393.2,107014.80320000001,3,min,uni,100.0,4,2670,40,8
25,0.983481430849852,0.6047849341863107,0.9552628837248677,0.6644438777634638,393.7,111295.39532800001,3,min,uni,100.0,4,2670,40,8
26,0.9832535885167464,0.6043017322906258,0.9640028022088684,0.6756480093876676,393.9,115575.987456,3,min,uni,100.0,4,2670,40,8
27,0.9855320118478014,0.6367608931452171,0.9606749577190167,0.6809141303414794,393.3,119856.579584,3,min,uni,100.0,4,2670,40,8
28,0.9838231943495102,0.6161314178497648,0.9536985385481993,0.6876975479077778,392.8,124137.17171200001,3,min,uni,100.0,4,2670,40,8
29,0.9832535885167464,0.6043192106422148,0.9477357620762589,0.6731088149812573,394.1,128417.76384,3,min,uni,100.0,4,2670,40,8
30,0.9841649578491684,0.605554560097292,0.9458545763315259,0.6538362501203611,394.0,132698.35596800002,3,min,uni,100.0,4,2670,40,8
31,0.9840510366826156,0.642256419049952,0.9581606804729048,0.6729074356093985,393.1,136978.948096,3,min,uni,100.0,4,2670,40,8
32,0.9839371155160629,0.605699232387746,0.9637912256366814,0.6586878971099273,404.5,141259.540224,3,min,uni,100.0,4,2670,40,8
33,0.9848484848484849,0.6154481793953623,0.9652726723215102,0.6691616966552622,391.9,145540.13235200002,3,min,uni,100.0,4,2670,40,8
34,0.9845067213488267,0.6082665654493667,0.9622332834842012,0.6653691495608189,393.2,149820.72448,3,min,uni,100.0,4,2670,40,8
35,0.9840510366826156,0.6081160877129765,0.9656180916720165,0.6643143472761021,392.8,154101.31660800002,3,min,uni,100.0,4,2670,40,8
36,0.9843928001822738,0.6171751476279808,0.9601004233426773,0.668864827885109,397.4,158381.908736,3,min,uni,100.0,4,2670,40,8
37,0.9840510366826156,0.6217836603307669,0.9523931610699777,0.664709298556012,547.1,162662.500864,3,min,uni,100.0,4,2670,40,8
38,0.9833675096832991,0.6111190365973082,0.9524394050684697,0.6566333868222377,614.1,166943.09299200002,3,min,uni,100.0,4,2670,40,8
39,0.9841649578491684,0.6196310321813888,0.952125606747394,0.646045477024854,615.3,171223.68512,3,min,uni,100.0,4,2670,40,8
