round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.904192298929141,0.0047619047619047615,0.6657142685094168,0.17757801715750388,237.6,4280.592128,3,uniml,uni,0.1,4,2670,40,8
1,0.9135338345864662,0.04359605911330049,0.7076294109631442,0.22114584322568073,232.3,8561.184256,3,uniml,uni,0.1,4,2670,40,8
2,0.9125085440874915,0.053993916178458765,0.6880394054437676,0.20504517459011104,233.9,12841.776384,3,uniml,uni,0.1,4,2670,40,8
3,0.9137616769195717,0.06130084476864519,0.6929480433804841,0.19888031542884135,230.8,17122.368512,3,uniml,uni,0.1,4,2670,40,8
4,0.9120528594212804,0.06904590918609935,0.6818765422205073,0.18897659273374098,224.6,21402.96064,3,uniml,uni,0.1,4,2670,40,8
5,0.9097744360902256,0.082166855829649,0.6760294287542471,0.18308154471938567,153.1,25683.552768,3,uniml,uni,0.1,4,2670,40,8
6,0.9054454317612213,0.09694971324571619,0.6491188625766363,0.17485717817889018,153.6,29964.144896,3,uniml,uni,0.1,4,2670,40,8
7,0.9097744360902256,0.08114398501252792,0.6966937486048873,0.19632927777384448,153.5,34244.737024,3,uniml,uni,0.1,4,2670,40,8
8,0.9084073820915927,0.0944616464151498,0.6572913071579192,0.17973697491192478,151.8,38525.329152000006,3,uniml,uni,0.1,4,2670,40,8
9,0.9092048302574618,0.11781593514664691,0.6607638962926848,0.19218572247923493,152.4,42805.92128,3,uniml,uni,0.1,4,2670,40,8
10,0.9071542492595124,0.09046053165370307,0.6720204241636504,0.16924879149513034,151.8,47086.513408,3,uniml,uni,0.1,4,2670,40,8
11,0.9097744360902256,0.11161307085740654,0.6720537914376272,0.18424906870475238,152.5,51367.105536,3,uniml,uni,0.1,4,2670,40,8
12,0.9077238550922762,0.08597884736950208,0.6821055104682746,0.18008018062633976,152.0,55647.69766400001,3,uniml,uni,0.1,4,2670,40,8
13,0.9059011164274322,0.09485970925330799,0.6662775299009762,0.1905374558018714,152.4,59928.289792,3,uniml,uni,0.1,4,2670,40,8
14,0.9053315105946685,0.12702051558054328,0.6489310199392376,0.1837533044443626,152.1,64208.88192,3,uniml,uni,0.1,4,2670,40,8
15,0.910913647755753,0.13150743436457724,0.6814589329657016,0.18868485970238807,152.4,68489.474048,3,uniml,uni,0.1,4,2670,40,8
16,0.9072681704260651,0.08009194154958021,0.6704880860047128,0.17657142245536667,152.0,72770.06617600001,3,uniml,uni,0.1,4,2670,40,8
17,0.9098883572567783,0.08414463856783236,0.6692233679383148,0.17416385069365528,152.1,77050.65830400001,3,uniml,uni,0.1,4,2670,40,8
18,0.9080656185919344,0.1136890552468229,0.6788184676241033,0.18778540494172105,151.8,81331.250432,3,uniml,uni,0.1,4,2670,40,8
19,0.9114832535885168,0.10987207705834799,0.6941714187679586,0.1926906835609214,151.7,85611.84256,3,uniml,uni,0.1,4,2670,40,8
20,0.9061289587605377,0.1198635624272754,0.6739490432459905,0.1764305292653014,152.3,89892.43468800001,3,uniml,uni,0.1,4,2670,40,8
