round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch,distill_temp
0,0.9058333333333333,0.0004638218923933209,0.6547324011484361,0.16753078631143523,505.3,0.0896,4,fedmd,1:3,0.1,4,2670,40,8,2.0
1,0.905892857142857,0.00046685340802987864,0.657610924966513,0.1688332806672478,497.3,0.1792,4,fedmd,1:3,0.1,4,2670,40,8,2.0
2,0.9066666666666666,0.03635510004169535,0.6636986975162757,0.1782618161756458,496.3,0.2688,4,fedmd,1:3,0.1,4,2670,40,8,2.0
3,0.9078571428571428,0.03709942537644381,0.6640310163253211,0.17862266443807043,496.3,0.3584,4,fedmd,1:3,0.1,4,2670,40,8,2.0
4,0.9070238095238097,0.046455315997366686,0.7071042957988205,0.20408362360564988,496.0,0.448,4,fedmd,1:3,0.1,4,2670,40,8,2.0
5,0.9063690476190477,0.04969258334390534,0.6652799001578629,0.18497832159588534,570.6,0.5376,4,fedmd,1:3,0.1,4,2670,40,8,2.0
6,0.9068452380952381,0.04951584916404096,0.6558634537714124,0.17421343797579172,800.5,0.6272,4,fedmd,1:3,0.1,4,2670,40,8,2.0
7,0.9072619047619048,0.04829886798310673,0.6863063401541128,0.18849067631575564,795.0,0.7168,4,fedmd,1:3,0.1,4,2670,40,8,2.0
8,0.9092857142857144,0.04986892259614782,0.6876564570927741,0.20262341683220736,790.9,0.8064,4,fedmd,1:3,0.1,4,2670,40,8,2.0
9,0.9074404761904762,0.05159849689343701,0.688192631854507,0.20311324596179917,768.9,0.896,4,fedmd,1:3,0.1,4,2670,40,8,2.0
10,0.9076190476190477,0.049242451775802346,0.6808107122742364,0.19648662447835188,770.5,0.9856,4,fedmd,1:3,0.1,4,2670,40,8,2.0
11,0.9075595238095239,0.0534680107818846,0.6974309055904969,0.1938349653256475,789.4,1.0752,4,fedmd,1:3,0.1,4,2670,40,8,2.0
12,0.9077380952380952,0.05090974842071281,0.6840308983715204,0.2012922087678244,773.0,1.1648,4,fedmd,1:3,0.1,4,2670,40,8,2.0
13,0.9072619047619048,0.05324847956158768,0.6754828990880104,0.19446913566454108,774.2,1.2544,4,fedmd,1:3,0.1,4,2670,40,8,2.0
14,0.9071428571428573,0.05120811453033449,0.7067762509187308,0.18111671216566938,790.7,1.344,4,fedmd,1:3,0.1,4,2670,40,8,2.0
15,0.9074404761904762,0.05368091733356034,0.6976642547725509,0.20047507879126183,781.3,1.4336,4,fedmd,1:3,0.1,4,2670,40,8,2.0
16,0.9061904761904762,0.05218366103246927,0.6993575310799605,0.2037319758809138,763.2,1.5232,4,fedmd,1:3,0.1,4,2670,40,8,2.0
17,0.9063690476190476,0.050212367104048236,0.6950465100450665,0.19495700216750023,760.4,1.6128,4,fedmd,1:3,0.1,4,2670,40,8,2.0
18,0.9069047619047619,0.049755226295051296,0.6828338120807806,0.18808894512531937,750.9,1.7024,4,fedmd,1:3,0.1,4,2670,40,8,2.0
19,0.9070833333333334,0.05489893269493913,0.7073244321611251,0.21097117293985568,757.3,1.792,4,fedmd,1:3,0.1,4,2670,40,8,2.0
20,0.9063690476190477,0.05816026284365258,0.6787797560976805,0.2086205170952458,761.1,1.8816,4,fedmd,1:3,0.1,4,2670,40,8,2.0
21,0.9066666666666667,0.05792421783864883,0.6789489105448981,0.19089912660322791,750.2,1.9712,4,fedmd,1:3,0.1,4,2670,40,8,2.0
22,0.9058333333333335,0.05491224860164229,0.6862761257464693,0.18495949504976383,751.3,2.0608,4,fedmd,1:3,0.1,4,2670,40,8,2.0
23,0.9061904761904762,0.060776063456834034,0.6822500432724852,0.191431447381421,738.2,2.1504,4,fedmd,1:3,0.1,4,2670,40,8,2.0
24,0.9056547619047619,0.058246729882621515,0.6795976849271683,0.19477791592648577,747.8,2.24,4,fedmd,1:3,0.1,4,2670,40,8,2.0
25,0.9063690476190477,0.052837123448461025,0.6872442606383274,0.20282762336332105,658.5,2.3296,4,fedmd,1:3,0.1,4,2670,40,8,2.0
26,0.9060119047619049,0.059555604817171426,0.7094110538932024,0.19854441023935815,494.9,2.4192,4,fedmd,1:3,0.1,4,2670,40,8,2.0
27,0.9060714285714285,0.05901721648074766,0.6943964112452399,0.19315952547803994,498.3,2.5088,4,fedmd,1:3,0.1,4,2670,40,8,2.0
28,0.9059523809523811,0.05776830469029716,0.6866174579730459,0.19590495767433588,502.8,2.5984,4,fedmd,1:3,0.1,4,2670,40,8,2.0
29,0.9056547619047619,0.056374864770969424,0.676093587190658,0.1962471904689121,497.4,2.688,4,fedmd,1:3,0.1,4,2670,40,8,2.0
30,0.9052976190476191,0.05418249758305102,0.6896510184063345,0.20357928896873723,490.8,2.7776,4,fedmd,1:3,0.1,4,2670,40,8,2.0
31,0.9052380952380952,0.06041573072443058,0.6902457155204451,0.20876346651459793,491.2,2.8672,4,fedmd,1:3,0.1,4,2670,40,8,2.0
32,0.9050595238095238,0.05286203297954757,0.7147162103492088,0.20338403596778454,493.7,2.9568,4,fedmd,1:3,0.1,4,2670,40,8,2.0
33,0.9055357142857143,0.05225127577937856,0.684943170814153,0.21188370295541234,498.0,3.0464,4,fedmd,1:3,0.1,4,2670,40,8,2.0
34,0.9054166666666666,0.05959321324700716,0.7001745227051054,0.2043288587112255,497.1,3.136,4,fedmd,1:3,0.1,4,2670,40,8,2.0
35,0.9059523809523811,0.05876484194704837,0.6959715143031593,0.22550811401190674,495.0,3.2256,4,fedmd,1:3,0.1,4,2670,40,8,2.0
36,0.9054761904761904,0.05320548489615644,0.6901881776958435,0.20382667891601208,497.3,3.3152,4,fedmd,1:3,0.1,4,2670,40,8,2.0
37,0.9048809523809525,0.0532978885657457,0.6936956101237861,0.19923216888123024,498.0,3.4048,4,fedmd,1:3,0.1,4,2670,40,8,2.0
38,0.9060119047619049,0.05829618916679665,0.6770300878619933,0.18882641493932403,497.7,3.4944,4,fedmd,1:3,0.1,4,2670,40,8,2.0
39,0.9052380952380952,0.05204940876222003,0.6789877350895485,0.2015333049114181,498.8,3.584,4,fedmd,1:3,0.1,4,2670,40,8,2.0
