round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch,distill_temp
0,0.9310714285714285,0.08413339224762152,0.8005869336313105,0.30293654902074735,664.0,0.0896,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
1,0.9453571428571429,0.16619592893716598,0.8450191903419781,0.37654475937288967,652.2,0.1792,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
2,0.9489285714285715,0.20908073305291563,0.8577304715390556,0.4000082887226348,640.0,0.2688,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
3,0.9446428571428571,0.22817780558621384,0.8558489243357917,0.41618777161251846,645.4,0.3584,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
4,0.9502976190476191,0.25051683647877565,0.8609554344435202,0.4031980868041524,696.3,0.448,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
5,0.9551190476190476,0.2956251289603753,0.8806765388281868,0.4309502803015594,648.1,0.5376,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
6,0.9560119047619048,0.29623367514577403,0.8795420749414267,0.4274984947143969,648.0,0.6272,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
7,0.9523809523809524,0.2958235915773933,0.8603129971250747,0.4004520596319534,640.5,0.7168,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
8,0.9507738095238096,0.28888372862507133,0.8510128067389965,0.42868958738920854,637.2,0.8064,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
9,0.9520833333333333,0.31498619942312,0.8545326571009406,0.42850747563619507,635.8,0.896,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
10,0.9503571428571429,0.29790021278541295,0.8515153352527047,0.4096676789529828,617.0,0.9856,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
11,0.9539880952380952,0.3091631739164843,0.8604158497545213,0.42159920723525524,603.2,1.0752,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
12,0.9514285714285714,0.3011026591329694,0.8604694638112369,0.4109834197602442,603.1,1.1648,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
13,0.9515476190476191,0.31700609006697966,0.843505982666635,0.4026541238231007,602.1,1.2544,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
14,0.9492261904761905,0.2963004602787685,0.8464027768650778,0.39335847549821945,601.9,1.344,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
15,0.9444642857142858,0.278059029321676,0.8519898299703069,0.4112571412140526,603.3,1.4336,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
16,0.927797619047619,0.20909329496805357,0.7919755718605854,0.30518639070870923,601.2,1.5232,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
17,0.9208928571428571,0.2001876257805424,0.7746511485275358,0.3206469285650533,599.7,1.6128,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
18,0.9206547619047619,0.19485092284244857,0.7664898561816943,0.30402942223276197,596.9,1.7024,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
19,0.9262499999999999,0.22673065846112078,0.7736383122990319,0.30280843030713117,598.8,1.792,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
20,0.917797619047619,0.19308131142660845,0.7627171944233171,0.28770905449530915,600.2,1.8816,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
21,0.9155357142857143,0.16410859141092943,0.774039749554793,0.28279839243649985,601.9,1.9712,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
22,0.9172619047619048,0.18468922133961274,0.7631970276557108,0.28019925094556764,601.5,2.0608,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
23,0.915952380952381,0.17291344524351604,0.7621566352439817,0.25816856244790387,602.5,2.1504,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
24,0.9142857142857143,0.17036672929618743,0.7521496124434879,0.2508023490637995,601.1,2.24,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
25,0.9121428571428571,0.16222598960082327,0.7373368301953096,0.24861682469712915,598.3,2.3296,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
26,0.9147619047619049,0.14206902728116863,0.7411849384198993,0.2378996527133127,597.3,2.4192,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
27,0.9092857142857143,0.15989907807756443,0.7318853904421851,0.22045697677342996,599.3,2.5088,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
28,0.9099999999999999,0.17112874173896098,0.7395648740089583,0.23008178686774516,598.9,2.5984,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
29,0.9105357142857143,0.1604167701534282,0.7386757209324454,0.2318020602885687,594.3,2.688,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
30,0.9084523809523809,0.14187247121219834,0.7414681770036781,0.2337851866214938,595.5,2.7776,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
31,0.9100595238095237,0.16714735796439503,0.7368468264991297,0.22832797333983995,596.5,2.8672,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
32,0.908154761904762,0.15120898541920458,0.7275313413703905,0.2274369461480404,597.4,2.9568,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
33,0.9104761904761904,0.14467990148513132,0.7286700763212983,0.2302675320723671,597.1,3.0464,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
34,0.9051190476190476,0.17789260260212753,0.7315198958213434,0.22712602445277136,598.1,3.136,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
35,0.9101190476190476,0.17512382854167508,0.7422116328110753,0.24022738850490477,598.9,3.2256,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
36,0.9082738095238094,0.16684754071015337,0.7247289456435875,0.24053164518744974,601.0,3.3152,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
37,0.9122619047619047,0.1605621787073674,0.7292269124573673,0.22311310268384726,599.1,3.4048,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
38,0.9123809523809523,0.156250802743772,0.7364489214540432,0.2376569004541869,599.1,3.4944,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
39,0.9122619047619047,0.14484978030486115,0.7267576897170223,0.22785296336927563,599.9,3.584,4,fedmd_loot,3:1,100.0,4,2670,40,8,2.0
